row,devicename,concept_id,concept_name
28,2-WAY FOLEY CATHETER 6FR(S),2614772,"Indwelling catheter, foley type, two-way, all silicone, each"
29,2-WAY FOLEY CATHETER 8FR(S),2614772,"Indwelling catheter, foley type, two-way, all silicone, each"
30,3.5 Cortical Screw(제일),4239189,Bone screw
31,3.5 LC-DCP PLATE(TIT),4106989,LC-DCP plate
32,3.5 LC-DCP TITANIUM all size,4106989,LC-DCP plate
33,3.5MM CORTEX SCREW(TIT),45764506,"Internal orthopedic fixation system, plate/screw, non-bioabsorbable"
34,3.5MM CORTICAL SCREW,4239189,Bone screw
35,3.5MM CORTICAL SCREW(TI) ,4239189,Bone screw
36,3.5MM LOCKING SCREW,4105219,Locking screw
37,365 Micron Fiber 3meter,2615792,Morcellator
38,3M B.C.D Set,45761368,Cardioplegia solution administration kit
39,"3M COBAN SELF-ADHERENT WRAP 1""",4224022,Elastic adhesive bandage
40,3M NO STING BARRIER FILM PUMP SPRAY(28CC),45759907,Skin moisture barrier dressing
41,3S-MICRO INTRODUCER KIT(HAIR WIRE포함),45761573,Catheter introducer
42,3S-PERCUTANEOUS ACCESS KIT(HAIR WIRE포함),4160628,Catheter sheath
43,3-WAY FOLEY CATHETER 14FR(S),2614773,"Indwelling catheter; foley type, three way for continuous irrigation, each"
44,3-WAY FOLEY CATHETER 16FR(S),2614773,"Indwelling catheter; foley type, three way for continuous irrigation, each"
45,3-WAY FOLEY CATHETER 18FR(S),2614773,"Indwelling catheter; foley type, three way for continuous irrigation, each"
46,3-WAY FOLEY CATHETER 20FR(S),2614773,"Indwelling catheter; foley type, three way for continuous irrigation, each"
47,3-WAY FOLEY CATHETER 22FR(S),2614773,"Indwelling catheter; foley type, three way for continuous irrigation, each"
48,3-WAY FOLEY CATHETER 24FR(S),2614773,"Indwelling catheter; foley type, three way for continuous irrigation, each"
49,4.0 CANCELLOUS SCREW TITANIUM,45764506,"Internal orthopedic fixation system, plate/screw, non-bioabsorbable"
50,4.0MM CANCELLOUS SCREW(TIT),45764506,"Internal orthopedic fixation system, plate/screw, non-bioabsorbable"
51,4.5 Cortical Screw(제일),4239189,Bone screw
52,4.5 CORTICAL SCREW(SYNTHES),4239189,Bone screw
53,4.5MM CORTEX SCREW(TIT),45764506,"Internal orthopedic fixation system, plate/screw, non-bioabsorbable"
54,4CIS CANNULATED SCREW,4239189,Bone screw
55,4CIS LIGAMENT PLATE,4098108,Bone plate
56,4CIS SOLAR SCREW SET(백암),45761303,Bone-screw internal spinal fixation system
57,4CIS SOLAR SYSTEM,45761303,Bone-screw internal spinal fixation system
58,5.0 Cannulated Screw,45764506,"Internal orthopedic fixation system, plate/screw, non-bioabsorbable"
59,504 3단계(40-50mmHg)트레디셔널 한쪽다리형,4082555,Antithromboembolic stockings
60,550 Micro Fiber 3Meter,2615792,Morcellator
61,5F Infusion catheter,45758082,Peripheral/coronary vascular infusion catheter
62,6.5 Cancellous Screw(성우메디칼),4239189,Bone screw
63,6.5 Cancellous Screw(제일의료기),4239189,Bone screw
64,6.5 CANCELLOUS SCREW(SYNTHES),4239189,Bone screw
65,6.5 Cannulate Screw,45764506,"Internal orthopedic fixation system, plate/screw, non-bioabsorbable"
66,6.5 Washer,45758516,Orthopedic bone washer
67,6.5MM CANCELLOUS SCREW(TIT),45764506,"Internal orthopedic fixation system, plate/screw, non-bioabsorbable"
68,"6.5mmBone screw,fullyTIT(25mm)",45764506,"Internal orthopedic fixation system, plate/screw, non-bioabsorbable"
69,702 2단계(30-40mmHg)복부압박팬티형,4082555,Antithromboembolic stockings
70,70MM VERSASTEP 11MM VS100711,45763434,Laparoscopic trocar
71,70MM VERSASTEP 5MM VS100705,45763434,Laparoscopic trocar
72,85900P EAGLE EYE PLATINUM DIGITAL IVUS CATHETER,4155005,Intravascular ultrasound device
73,가온가습용 회로 1207MKI,4105239,Breathing circuit
74,개두술(간단)용 BURR & SAW,4008955,Surgical saw
75,"개두술(중간)에 사용한 BURR,SAW 등 절삭기류",4008955,Surgical saw
76,개두술(중간)용 BURR & SAW,4008955,Surgical saw
77,개흉술(간단)용 BURR & SAW,4008955,Surgical saw
78,"경비골,요척골,상완골,전완골용 BURR & SAW",4008955,Surgical saw
79,경추 전방고정술용 수술재료 SET(TITANIUM)조인트메디칼,45768051,Spinal fixation plate
80,경추전방고정술용 SCREW,45764280,"Spinal bone screw, non-bioabsorbable"
81,고관절치환용 무시멘트형 Stem(엔도텍),45768061,Femoral stem prosthesis
82,고관절치환용 Actebular Cup(엔도텍),45761793,Acetabular shell
83,고관절치환용 Bipolar Cup(엔도텍),45763037,Femoral head bipolar component
84,고관절치환용 Femoral Head,45761725,Ceramic femoral head prosthesis
85,고관절치환용 Femoral Head(엔도텍),45761725,Ceramic femoral head prosthesis
86,고관절치환용 Liner/Insert(엔도텍),45761205,Ceramic acetabular liner
87,"골반,대퇴,고관절,견관절,슬관절용 BURR & SAW",45768037,Endotherapy biopsy forceps
88,공 CD,45760161,Recordable CD
89,"관절경 재료대(고관절,슬관절,견관절)",45767958,Arthroscopic surgical procedure kit
90,"관절경 재료대(족관절,주관절,완관절)",45767958,Arthroscopic surgical procedure kit
91,관절경하치료재료비용,45767958,Arthroscopic surgical procedure kit
92,교정용 MINI AUTO SCREW 4MM 20-AT-004,45773261,"Craniofacial bone screw, non-bioabsorbable"
93,교정용 MINI AUTO SCREW 5MM 20-AT-005,45773261,"Craniofacial bone screw, non-bioabsorbable"
94,교정용 MINI AUTO SCREW 6MM 20-AT-006,45773261,"Craniofacial bone screw, non-bioabsorbable"
95,귀(이)수술용 BURR & SAW,4008955,Surgical saw
96,네오드레싱-IV용 6CM*7CM*IV,4229930,Wound management dressing
97,레노케어 THIN 10X10CM,4222039,Hydrocolloid dressing
98,멀티셀비용거즈,4041621,Packing material
99,메디터치 2 친수성 10CM*10CM,45763990,"Exudate-absorbent dressing, hydrophilic-gel"
100,메디터치 5 친수성 10CM*10CM*0.2CM,45763990,"Exudate-absorbent dressing, hydrophilic-gel"
101,메디터치 5 친수성 10CM*20CM*0.2CM,4224205,Polyurethane foam sterile film dressing
102,메디터치 5 친수성 20CM*20CM,4224205,Polyurethane foam sterile film dressing
103,메디터치 F 점착성 10CM*7.5CM(5CM*3.5CM),4224205,Polyurethane foam sterile film dressing
104,메디터치 F 점착성 9CM*25CM(5CM*20CM),4224205,Polyurethane foam sterile film dressing
105,메디터치친수성드레싱 10CMx10CM,45763990,"Exudate-absorbent dressing, hydrophilic-gel"
106,메디터치친수성드레싱 10CMx20CM,4224205,Polyurethane foam sterile film dressing
107,메디터치친수성드레싱 20CMx20CM,4224205,Polyurethane foam sterile film dressing
108,메디폼실버 10X20,4246818,Silver dressing
109,메디폼실버 20x20,4246818,Silver dressing
110,메디폼B 2 5*30,4224204,Polyurethane foam dressing
111,메디폼B 3 2*20,4224204,Polyurethane foam dressing
112,메디폼B 5 10*10,4224204,Polyurethane foam dressing
113,메피렉스 10CMX10CM,4236605,Silicone foam sheet dressing
114,메피렉스 20CMX20CM,4236605,Silicone foam sheet dressing
115,메피렉스 라이트 10*10,4270180,Soft silicone wound contact dressing with polyurethane foam film backing sterile 10cm x 10cm
116,메피렉스 라이트 15*15,4297038,Soft silicone wound contact dressing with polyurethane foam film backing sterile 15cm x 15cm
117,메피렉스 보더 10CMX10CM (6.5CMX6.5CM),4236605,Silicone foam sheet dressing
118,메피렉스 보더 7.5*7.5,4236605,Silicone foam sheet dressing
119,메피렉스보더라이트 4CMX5CM (2CMX3CM),4236605,Silicone foam sheet dressing
120,메피릭스 보더 10*20,4236605,Silicone foam sheet dressing
121,무릎재건관절경재료,45767958,Arthroscopic surgical procedure kit
122,무릎재건관절경-S,45767958,Arthroscopic surgical procedure kit
123,무릎진단 /Meniscus repair관절경재료대,45767958,Arthroscopic surgical procedure kit
124,무릎진단 관절경재료대,45767958,Arthroscopic surgical procedure kit
125,"발치,치근,치조골성형술용 BURR & SAW",4008955,Surgical saw
126,방사선필름(내자),45768233,X-ray film
127,방수밴드랜드1호(19*30MM),45760856,Waterproof adhesive tape
128,방수밴드랜드2호(25*65MM),45760856,Waterproof adhesive tape
129,방수밴드랜드3호(30*50MM),45760856,Waterproof adhesive tape
130,방수밴드랜드4호(38*60MM),45760856,Waterproof adhesive tape
131,방수밴드랜드5호(60*80MM),45760856,Waterproof adhesive tape
132,번실드드레싱- 10CMX10CM,45759011,Polyurethane burn dressing
133,번실드드레싱- 20CMX20CM,45759011,Polyurethane burn dressing
134,베타폼 T(BETAFOAM T) 5x5CM / 3mm,4224205,Polyurethane foam sterile film dressing
135,베타폼(BETAFOAM) 10X10CM / 2mm,4224205,Polyurethane foam sterile film dressing
136,베타폼(BETAFOAM) 10X10CM / 5mm,4224205,Polyurethane foam sterile film dressing
137,베타폼(BETAFOAM) 20X20CM / 5mm,4224205,Polyurethane foam sterile film dressing
138,복강경 재료대(내시경하 갑상선 수술포함),45767955,Laparoscopic surgical procedure kit
139,복강경 Dx-lapa,45767955,Laparoscopic surgical procedure kit
140,복강경 GB-LAPA CHOLE(김건국),45767955,Laparoscopic surgical procedure kit
141,복강경 GB-LAPA CHOLE(이정남),45767955,Laparoscopic surgical procedure kit
142,복강경 Myomectomy,45767955,Laparoscopic surgical procedure kit
143,복강경 TLH,45767955,Laparoscopic surgical procedure kit
144,복강경하 수술시 사용하는 치료재료 비용,45767955,Laparoscopic surgical procedure kit
145,복강경하치료재료비용,45767955,Laparoscopic surgical procedure kit
146,복강경Pelviscopy & LAVH,45767955,Laparoscopic surgical procedure kit
147,복대,4074176,Abdominal binder
148,복조제 다이칼 1회   ,4080147,Calcium hydroxide cement - setting
149,비용-생검 및 절제용 Forcep,45768039,Endotherapy forceps
150,비용-절제용 Snare,45759635,"Nasal snare, single-use"
151,비용-ARGON PROBE,4040746,Argon laser device
152,비용-Papillotome,4134705,Papillotome
153,생검용 FORCEP-BF160,45768037,Endotherapy biopsy forceps
154,생검용 FORCEP-BF160S,45768037,Endotherapy biopsy forceps
155,생검용 FORCEP-BF240,45768037,Endotherapy biopsy forceps
156,소관절 관절경재료,45767958,Arthroscopic surgical procedure kit
157,소다라임 (450G/1.5HR),4243954,Carbon dioxide absorber
158,"쇄골,주관절,완관절,족관절용 BURR & SAW",4008955,Surgical saw
159,"수족지골,지관절,기타부위 BURR & SAW",4008955,Surgical saw
160,스카클리닉 대 12*15,45767862,Scar management dressing
161,스카클리닉 미니 5*6,45767862,Scar management dressing
162,스카클리닉 소 6*10,45767862,Scar management dressing
163,스카클리닉 중 10*12,45767862,Scar management dressing
164,스카클리닉 특대 15*24,45767862,Scar management dressing
165,스카클리닉 S20 4*20,45767862,Scar management dressing
166,스토마히시브연고,4271428,Ostomy skin protectives
167,스토마히시브파우더 28.3G,4271428,Ostomy skin protectives
168,슬관절치환용 BEARING INSERT(삼원써미트),45771650,Mobile-bearing total knee prosthesis
169,"슬관절치환용 EXTENTION,STEM RO",45768061,Femoral stem prosthesis
170,슬관절치환용 Femoral Component,45768076,Knee femur prosthesis
171,슬관절치환용 FEMORAL COMPONENT(일반형)삼원써미트,45768076,Knee femur prosthesis
172,슬관절치환용 FEMORAL COMPONENT(REVISION TC3형)삼원써미트,45768076,Knee femur prosthesis
173,슬관절치환용 PATELAR(삼원써미트),45758465,Polyethylene patella prosthesis
174,슬관절치환용 PATELLAR,45768072,Patella prosthesis
175,슬관절치환용 TIBIAL COMPONENT(삼원써미트),45768074,Knee tibia prosthesis
176,슬라이드 칼라   ,45759814,Surgical camera film
177,슬라이드 현상료   ,45759814,Surgical camera film
178,식도청진기(체온계용) 18FR(Esophageal stethoscope),4236078,Esophageal stethoscope
179,아산화질소 (15분),4225315,Nitrous oxide cylinder
180,"안면골(악관절 포함)수술에 사용한 BURR,SAW 등 절삭?",4008955,Surgical saw
181,안면골(악관절 포함)수술용 BURR & SAW,4008955,Surgical saw
182,압박용밴드 (MAXIS COTTON COMFORT)-무릎형,2615230,"Gradient compression stocking/sleeve, not otherwise specified"
183,압박용밴드 (MAXIS COTTON COMFORT)-팬티형,2615230,"Gradient compression stocking/sleeve, not otherwise specified"
184,압박용밴드 (MAXIS COTTON COMFORT)-허벅지형,2615230,"Gradient compression stocking/sleeve, not otherwise specified"
185,어깨관절경재료,45767958,Arthroscopic surgical procedure kit
186,어깨관절경재료-PUMP 성진,45767958,Arthroscopic surgical procedure kit
187,에스비밴드,4038672,Pressure dressing
188,영운드레싱-실버 6CM X 10CM,4229930,Wound management dressing
189,영운드레싱-실버 6CM X 7CM,4229930,Wound management dressing
190,영운드레싱-실버 9CM X 10CM,4229930,Wound management dressing
191,영운드레싱-실버 9CM X 15CM,4229930,Wound management dressing
192,영운드레싱-실버 9CM X 20CM,4229930,Wound management dressing
193,영운드레싱-실버 9CM X 25CM,4229930,Wound management dressing
194,영운드레싱-실버 9CM X 30CM,4229930,Wound management dressing
195,영운드레싱-실버 9CM X 35CM,4229930,Wound management dressing
196,이지폼 10CMX10CM/2mm,4224205,Polyurethane foam sterile film dressing
197,이지폼 10CMX10CM/5mm,4224205,Polyurethane foam sterile film dressing
198,이지폼 20CMX20CM/5mm,4224205,Polyurethane foam sterile film dressing
199,이지폼 보더(2MM) 5*5CM,4224205,Polyurethane foam sterile film dressing
200,이지폼(5MM) 10*10CM,4224205,Polyurethane foam sterile film dressing
201,이지폼(5MM) 10*20CM,4224205,Polyurethane foam sterile film dressing
202,이지폼(5MM) 20*20CM,4224205,Polyurethane foam sterile film dressing
203,인화지,45772534,Paper/plastic sheet guillotine
204,인후두수술용 BURR & SAW,4008955,Surgical saw
205,장루용 복대,4074176,Abdominal binder
206,장루용 복대,4087970,Ostomy belt
207,장루용 복대(STOMA BELT) 7.0/L,4087970,Ostomy belt
208,장루용 복대(STOMA BELT) 7.0/M,4087970,Ostomy belt
209,장루용 복대(STOMA BELT) 7.0/S,4087970,Ostomy belt
210,장루용 복대(STOMA BELT) 7.0/XL,4087970,Ostomy belt
211,장루용 복대(STOMA BELT) 8.0/L,4087970,Ostomy belt
212,장루용 복대(STOMA BELT) 8.0/S,4087970,Ostomy belt
213,장루용 복대(STOMA BELT) 8.0/XL,4087970,Ostomy belt
214,재사용 HOLMIUM LASER와 MORCELLATOR를 이용한 비용,2615792,Morcellator
215,쟈마트 10CC Micro Filter Needle With Syringe,45760191,"Syringe filter, clinical"
216,쟈마트 1CC Micro Filter Needle With Syringe,45760191,"Syringe filter, clinical"
217,쟈마트 20CC Micro Filter Needle With Syringe,45760191,"Syringe filter, clinical"
218,쟈마트 30CC Micro Filter Needle With Syringe,45760191,"Syringe filter, clinical"
219,쟈마트 3CC Micro Filter Needle With Syringe,45760191,"Syringe filter, clinical"
220,쟈마트 50CC Micro Filter Needle With Syringe,45760191,"Syringe filter, clinical"
221,쟈마트 5CC Micro Filter Needle With Syringe,45760191,"Syringe filter, clinical"
222,절제용 SNARE(보스톤),45759635,"Nasal snare, single-use"
223,절제용 SNARE(삼원메딕스),45759635,"Nasal snare, single-use"
224,절제용 SNARE(올림푸스),45759635,"Nasal snare, single-use"
225,제일 DISTRACTOR(DO Systwm),45768084,Bone distractor
226,척추 및 척수 수술용 BURR & SAW,4008955,Surgical saw
227,"척추 및 척수수술에 사용한 BURR,SAW 등 절삭기류",4008955,Surgical saw
228,척추 정복고정술용 ROD(120MM 이하)(DIAPASON:골드메디칼),4118610,Rod fixation system
229,척추고정술용 HOOK 장치(잠금장치포함)-메디프로,45768051,Spinal fixation plate
230,척추정복고정수룡 SCREW SET,45761303,Bone-screw internal spinal fixation system
231,척추정복고정술용 ROD(120MM이하)(대명메디텍),4118610,Rod fixation system
232,척추정복고정술용 SCREW SET(잠금장치 포함) ,45761303,Bone-screw internal spinal fixation system
233,"치과 관련 수술에 사용한 BURR,SAW 등 절삭기류 -관혈",4008955,Surgical saw
234,"치과 관련 수술에 사용한 BURR,SAW 등 절삭기류 -발치",4008955,Surgical saw
235,"치과 관련 수술에 사용한 BURR,SAW 등 절삭기류 -절제",4008955,Surgical saw
236,치과 관혈적 정복술용 BURR & SAW,4008955,Surgical saw
237,"치과관련 절제,적출,골수염수술용 BURR & SAW",4008955,Surgical saw
238,치주농루치료제 COE PACK(1/3악)1회   ,45758459,Periodontal dressing
239,컨바케어피부보호필름 5*5,2615063,"Skin barrier, wipes or swabs, each"
240,코수술(비-간단)용 BURR & SAW,4008955,Surgical saw
241,코수술(비-복잡)용 BURR & SAW,4008955,Surgical saw
242,큐앤큐메딕스-패드 18X20CM,4229930,Wound management dressing
243,큐패드 지혈제,4042424,Splint
244,탄산가스흡수제,4243954,Carbon dioxide absorber
245,테라솝알지플러스점착성 7.5*7.5CM,4224205,Polyurethane foam sterile film dressing
246,테라솝알지플러스점착성 9*15CM,4224205,Polyurethane foam sterile film dressing
247,테라솝알지플러스점착성 9*25CM,4224205,Polyurethane foam sterile film dressing
248,테라솝알지플러스친수성 10*10CM,45763990,"Exudate-absorbent dressing, hydrophilic-gel"
249,테라솝알지플러스친수성 10*20CM,45763990,"Exudate-absorbent dressing, hydrophilic-gel"
250,테라솝알지플러스친수성 20*20CM,45763990,"Exudate-absorbent dressing, hydrophilic-gel"
251,파노라마필름,45772852,Dental x-ray film
252,폴리본 POWDER TYPE 10G,37019139,Synthetic bone graft
253,풍선카테타,4124393,Balloon dilatation catheter
254,풍선카테타(TYPHOON),4124393,Balloon dilatation catheter
255,필름 파노라마필름 1매   ,45772852,Dental x-ray film
256,하이배리(HIBARRY) 1.5ml,2615775,Adhesion barrier
257,하이배리(HIBARRY) 3ml,2615775,Adhesion barrier
258,화상처치용 거즈 4X4(4매),4228721,Gauzes
259,A PLUS GUIDE WIRE,4159813,Guide wire
260,A PLUS GUIDE WIRE 200CM미만,4159813,Guide wire
261,ABDOMINAL BAND M,4074176,Abdominal binder
262,ABDOMINAL BAND S,4074176,Abdominal binder
263,ABDOMINAL BAND XL,4074176,Abdominal binder
264,ABLE CENTRAL VENOUS CATHETER DUBLE,4179206,Central venous catheter
265,ABLE CENTRAL VENOUS CATHETER TRIPLE,4179206,Central venous catheter
266,A-CATH 동인5F,45771910,"Angiographic catheter, single-use"
267,A-CATH OMNI FLUSH,45771910,"Angiographic catheter, single-use"
268,ACCUFUSER OMNIBUS 100ML,45758185,Patient-controlled analgesia infusion pump
269,ACCUFUSER OMNIBUS 300ml,45758185,Patient-controlled analgesia infusion pump
270,ACCUFUSER PLUS P0515S,45758185,Patient-controlled analgesia infusion pump
271,ACCUFUSER PLUS P2015L,45758185,Patient-controlled analgesia infusion pump
272,ACCUFUSER PLUS P2015M,45758185,Patient-controlled analgesia infusion pump
273,ACCUFUSER PLUS P5015L,45758185,Patient-controlled analgesia infusion pump
274,ACCUFUSER PLUS T2015L,45758185,Patient-controlled analgesia infusion pump
275,ACCUFUSER PLUS-P2015M/2DAY,45758185,Patient-controlled analgesia infusion pump
276,ACCUFUSER PLUS-P2015S/1DAY,45758185,Patient-controlled analgesia infusion pump
277,ACCUFUSER PLUS-T4015L/3DAY,45758185,Patient-controlled analgesia infusion pump
278,ACCU-SHEATH INTRODUCER 9FR이하/16CM이하,45761573,Catheter introducer
279,ACCU-SHEATH INTRODUCER 9FR이하/25CM,45761573,Catheter introducer
280,ACCU-SHEATH INTRODUCER SYSTEM- 9FR이하/16CM이하,45761573,Catheter introducer
281,ACCU-SHEATH LONG INTRODUCER SYSTEM- 9FR이하/25CM,45761573,Catheter introducer
282,ACD-A(500ml),45761496,Citrate anticoagulation solution
283,ACE CANN.CANCELLOUS SCREW WASHER   41-001-031,45758516,Orthopedic bone washer
284,ACE CANNULATED CANCELLOUS HIP SCREW,45764506,"Internal orthopedic fixation system, plate/screw, non-bioabsorbable"
285,ACE CANNULATED CANCELLOUS HIP SCREW   5.0/32MM,45764506,"Internal orthopedic fixation system, plate/screw, non-bioabsorbable"
286,ACE CANNULATED CANCELLOUS HIP SCREW   5.0/34MM,45764506,"Internal orthopedic fixation system, plate/screw, non-bioabsorbable"
287,ACE CANNULATED CANCELLOUS HIP SCREW   5.0/36MM,45764506,"Internal orthopedic fixation system, plate/screw, non-bioabsorbable"
288,ACE CANNULATED CANCELLOUS HIP SCREW   5.0/38MM,45764506,"Internal orthopedic fixation system, plate/screw, non-bioabsorbable"
289,ACE CANNULATED CANCELLOUS HIP SCREW   5.0/40MM,45764506,"Internal orthopedic fixation system, plate/screw, non-bioabsorbable"
290,ACE CANNULATED CANCELLOUS HIP SCREW   5.0/42MM,45764506,"Internal orthopedic fixation system, plate/screw, non-bioabsorbable"
291,ACE CANNULATED CANCELLOUS HIP SCREW   5.0/44MM,45764506,"Internal orthopedic fixation system, plate/screw, non-bioabsorbable"
292,ACE CANNULATED CANCELLOUS HIP SCREW   5.0/48MM,45764506,"Internal orthopedic fixation system, plate/screw, non-bioabsorbable"
293,ACE CANNULATED CANCELLOUS HIP SCREW   5.0/50MM,45764506,"Internal orthopedic fixation system, plate/screw, non-bioabsorbable"
294,ACE CANNULATED CANCELLOUS HIP SCREW   5.0/55MM,45764506,"Internal orthopedic fixation system, plate/screw, non-bioabsorbable"
295,ACE CANNULATED CANCELLOUS HIP SCREW   5.0/60MM,45764506,"Internal orthopedic fixation system, plate/screw, non-bioabsorbable"
296,ACE CANNULATED CANCELLOUS HIP SCREW   5.0/65MM,45764506,"Internal orthopedic fixation system, plate/screw, non-bioabsorbable"
297,ACE CANNULATED CANCELLOUS HIP SCREW   5.0/70MM,45764506,"Internal orthopedic fixation system, plate/screw, non-bioabsorbable"
298,ACE CANNULATED CANCELLOUS SCREW   6.5/100MM,45764506,"Internal orthopedic fixation system, plate/screw, non-bioabsorbable"
299,ACE CANNULATED CANCELLOUS SCREW   6.5/105MM,45764506,"Internal orthopedic fixation system, plate/screw, non-bioabsorbable"
300,ACE CANNULATED CANCELLOUS SCREW   6.5/25MM,45764506,"Internal orthopedic fixation system, plate/screw, non-bioabsorbable"
301,ACE CANNULATED CANCELLOUS SCREW   6.5/60MM,45764506,"Internal orthopedic fixation system, plate/screw, non-bioabsorbable"
302,ACE CANNULATED CANCELLOUS SCREW   6.5/65MM,45764506,"Internal orthopedic fixation system, plate/screw, non-bioabsorbable"
303,ACE CANNULATED CANCELLOUS SCREW   6.5/70MM,45764506,"Internal orthopedic fixation system, plate/screw, non-bioabsorbable"
304,ACE CANNULATED CANCELLOUS SCREW   6.5/75MM,45764506,"Internal orthopedic fixation system, plate/screw, non-bioabsorbable"
305,ACE CANNULATED CANCELLOUS SCREW   6.5/80MM,45764506,"Internal orthopedic fixation system, plate/screw, non-bioabsorbable"
306,ACE CANNULATED CANCELLOUS SCREW   6.5/85MM,45764506,"Internal orthopedic fixation system, plate/screw, non-bioabsorbable"
307,ACE CANNULATED CANCELLOUS SCREW   6.5/90MM,45764506,"Internal orthopedic fixation system, plate/screw, non-bioabsorbable"
308,ACE CANNULATED CANCELLOUS SCREW   6.5/95MM,45764506,"Internal orthopedic fixation system, plate/screw, non-bioabsorbable"
309,ACE CANNULATED HIP SCREW 5.0/46mm,45764506,"Internal orthopedic fixation system, plate/screw, non-bioabsorbable"
310,ACE CANNULATED WASHER,45758516,Orthopedic bone washer
311,ACE GRIP,40489931,Catheter stabilization device
312,ACE GRIP ENDO FIX #0 Black,40489931,Catheter stabilization device
313,ACE GRIP ENDO FIX #1 White,40489931,Catheter stabilization device
314,ACE GRIP ENDO FIX #2 Green,40489931,Catheter stabilization device
315,ACE GRIP ENDO FIX #3 Yellow,40489931,Catheter stabilization device
316,ACE GRIP ENDO FIX #4 Red,40489931,Catheter stabilization device
317,ACE GRIP MONOFUSION,40489931,Catheter stabilization device
318,ACE GRIP MULTIFUSION,40489931,Catheter stabilization device
319,ACE LOCK,40489931,Catheter stabilization device
320,ACE LOCK P MONOFUSION,40489931,Catheter stabilization device
321,ACE LOCK PLUS(M-V TUBE),40489931,Catheter stabilization device
322,ACEGRIP CVC,40489931,Catheter stabilization device
323,ACHIEVE OFF-PUMP SYSTEM,4292082,Surgical instrument
324,ACHILLES TENDON BONE,4195128,Allograft
325,ACHILLES TENDON FRESH FROZEN   ,4195128,Allograft
326,ACHILLES TENDON(RTI),4195128,Allograft
327,ACRYSOF ASPHERIC NATURAL IQ SN60WF,4208975,Intraocular lens implant
328,ACRYSOF ASPHERIC NATURAL IQ(SN60WF),4208975,Intraocular lens implant
329,ACRYSOF NATURAL IOL SN60AT,4208975,Intraocular lens implant
330,Acrysof SA60AT(특수렌즈),4208975,Intraocular lens implant
331,"ACRYSOF(MA60BM, MA30BA)",4208975,Intraocular lens implant
332,ACTICOAT 10*10CM,4246818,Silver dressing
333,ACTICOAT 10*20CM,4246818,Silver dressing
334,Acticoat 10cm*10cm,4246818,Silver dressing
335,Acticoat 10cm*20cm,4246818,Silver dressing
336,ACTICOAT 20*40CM,4246818,Silver dressing
337,ACTICOAT 5*5CM,4246818,Silver dressing
338,ACTIVELIFE ONE-PIECE POUCH 19-64MM,4225137,Colostomy bag
339,ACTIVELIFE ONE-PIECE POUCH(소아) 19-50MM,4225137,Colostomy bag
340,ACU-LOC TARGETED DISTAL RADIUS PLATE,4098108,Bone plate
341,ACUTRAK BONE SCREW,4239189,Bone screw
342,ACUTRAK BONE SCREW 3.8MM,4239189,Bone screw
343,ADAM KM CARE-M,4274503,Bandage
