localcodename,concept_id,CONCEPT_NAME
"Hepatectomy,Wedge Resection",4069129,Wedge resection of liver
Long Arm Cast Bivalve,4171763,Cast removal
"LT L/Extremity Doppler,Vein(CS)",4306147,Diagnostic Doppler ultrasonography
N. Excitability Test(NEUR),4198105,Nerve conduction study
"N2O 진정마취,기본(15분까지)",4296940,Dental behavior management
Nerve Excitability test,4198105,Nerve conduction study
"OP. of Anal Fistula,Low Type,Fistulotomy & Fistulectomy",4315014,Anal fistulectomy
ROUTINE URINALYSIS(4),4055811,Urine examination
"S6-Posterior Spinal Fusion, Thoracic",2103517,"Arthrodesis, posterior or posterolateral technique, single level; thoracic (with lateral transverse technique, when performed)"
Thumb Spica Cast Bivalve,4231924,Application of short arm cast
urine stick,4055811,Urine examination
Valvuloplasty(mitral v),4297235,Repair of mitral valve
"(1범위)SIMPLE SUTURE, OTHERS, 2.5CM미만",4125906,Suture open wound
(비)경막외 Block(경추및흉추),4120974,Local anesthetic cervical epidural block
(재검사) 췌담도수면내시경 초음파,4306147,Diagnostic Doppler ultrasonography
(전문의)창상봉합술안면외단순2-1(2.5이상),4125906,Suture open wound
(OR) Lumbar Puncture,2110609,"Spinal puncture, lumbar, diagnostic"
"(OR)고주파 열 응고법, 경부이하,Simple",44514762,Percutaneous radiofrequency ablation of lesion of bone
"(TIBIA,HUMERUS)",2005401,"Closed reduction of fracture without internal fixation, humerus"
17-HYDROXY PROGESTERON,4178807,Endocrine radiologic studies
24Hr Bed Side BP Monitoring,2313967,"Ambulatory blood pressure monitoring, utilizing a system such as magnetic tape and/or computer disk, for 24 hours or longer; including recording, scanning analysis, interpretation and report"
견관절 점액낭 내 초음파(연골재생센터),4306147,Diagnostic Doppler ultrasonography
경막외 Block(요추및천추),4110978,Local anesthetic lumbar epidural block
"고주파 열 응고법, 경부이하,Simple",44514762,Percutaneous radiofrequency ablation of lesion of bone
기관지내시경 초음파 세침흡인술,44809038,EBUS-TBNA - Endobronchial ultrasound - transbronchial needle aspiration
동정맥루 수술 전 초음파,40492795,Ultrasonography of arteriovenous fistula
동정맥루 혈류량 측정법,44792866,Blood flow rate measurement of vascular access
발달학습증진 부모교실A(40분),44804575,Parent education about child health
상지(양)NCV+상지(편)EMG+구간,2314118,Needle electromyography; 1 extremity with or without related paraspinal areas
소장내시경 C,4143985,Capsule endoscopy
수면 ESD(Endoscopic Submucosal Dissection),4140316,Fiberoptic endoscopic submucosal resection of lesion of upper gastrointestinal tract
수족지 동맥 검사(Toe),4306147,Diagnostic Doppler ultrasonography
심폐소생술(45분을 초과하여 60분까지),4232320,Cardiopulmonary resuscitation
역행성담췌관내시경하유두괄약근절개술(sphincterotom,2108907,Endoscopic retrograde cholangiopancreatography (ERCP); with sphincterotomy/papillotomy
응급근관처치(1치당),4208099,Endodontic procedure
재활초음파1,4306147,Diagnostic Doppler ultrasonography
"정밀초음파(쌍태아,초회)",4306147,Diagnostic Doppler ultrasonography
"정형초음파2,대관절 진단초음파(편측)",2006935,Other diagnostic ultrasound
창상봉합술안면외단순2-1(2.5이상),4125906,Suture open wound
창상봉합술안면외변연1범위2.5이상,4057680,Debridement and suture
혈액제제에대한체외조사[단위당],2212964,"Irradiation of blood product, each unit"
Acessory Breast Excision,4129188,Excision of accessory breast
ACTH(30MIN),4178807,Endocrine radiologic studies
Analytical Assessment of Temporomandibular Disorders,4111531,Examination of temporomandibular joint
Artery Doppler USG,4306147,Diagnostic Doppler ultrasonography
"B12-Endoscopic Turbinectomy, Submucosal Inferior",40492803,Endoscopic sphenoidectomy with turbinectomy
"B18-Surgical Removal of Impacted Tooth, 골삭제 및 치근불리술",4058744,"Removal of impacted tooth, completely bony"
Bladder Irrigation,4329915,Irrigation of urethra
Both Hip Ultrasound,4306147,Diagnostic Doppler ultrasonography
"BRAIN MRI(보험, 조영제무)",2211351,"Magnetic resonance (eg, proton) imaging, brain (including brain stem); without contrast material"
Breast USG(재진),4306147,Diagnostic Doppler ultrasonography
Burn Dressing (10-18%),4233678,Application of dressing for burn
Bursectomy,4321677,Excision of ganglion cyst
"C/R c Internal Fixation,Carpal,Tarsal bone,Clavicle,Patella",43531173,Open reduction of dislocation of patellofemoral joint
Colonic Miniprobe EUS,4306147,Diagnostic Doppler ultrasonography
Contrast Echocardiogram(F/U),4311293,Color doppler ultrasound
CSL(재진),44788943,Speech assessment
Dental Sedative Filling,4098349,Sedative filling
Dilatation and curettage of Uterus,2110316,Cesarean delivery only
"Dirty Wound and Large Dressing, 흉부",4080499,Dressing of wound
Diuretic MAG3 Renal Scan,4232110,Radionuclide imaging of kidney after administration of diuretic
Endothelial function test(1회),4306147,Diagnostic Doppler ultrasonography
ESWL(2회~5회까지),2109635,"Lithotripsy, extracorporeal shock wave"
"Excision of Lymphnode, Cervical",4064257,Excision of regional lymph nodes
Fasciotomy,4234382,Ligation of blood vessel
Implantation of pacemaker setting of cardian with,4290930,Insertion of pacemaker pulse generator
Incision & Drainage,4147894,Incision
"incisional Biopsy,Others",4068309,Biopsy of orbital lesion
"Kidney Biopsy, Percutaneous",4095392,Deep fine needle aspiration biopsy under radiologic guidance
Knee U/SⅡ(연골재생센터),2006935,Other diagnostic ultrasound
Lacrimal Secretion Examination,4064323,Schirmer's test
Lateral Retinacular Release,4343908,Ligament reconstruction
Lumbar Puncture,2110609,"Spinal puncture, lumbar, diagnostic"
MENISECTOMY(int.or ext.),4263550,Chondrectomy of semilunar cartilage of knee
NST,2110284,Fetal non-stress test
Occupational Simple Therapy,2007675,Occupational therapy
OCT Ⅰ,4144452,Optical coherence tomography of eye region
Off pump CABG(2개소이상),4305852,Off-pump coronary artery bypass
Olfactometry,4091871,Olfaction test
Open Acromioclavicular Decompression,4343908,Ligament reconstruction
"Open Reduction of Fracture(Metacarpal,Metatarsal,Finger,Toe)",4239455,Open reduction of dislocation of toe
Operation for Torticollis M,2103381,"Division of sternocleidomastoid for torticollis, open operation; with cast application"
"Operation of Entropion,광범위(피부와피하,근육,검판등 교정)",4293475,Repair of entropion
OSTECTOMY(OBTAINING DONOR BONE,4236352,Excision of bone for graft
Percutaneous Cystostomy,2003765,Percutaneous cystostomy
"pin.remove tib&fib,ulna&radius",2005332,"Removal of implanted devices from bone, tibia and fibula"
Post op.Pain Control(2days),4194195,"Epidural injection of anesthetic substance, therapeutic, caudal, continuous"
Posterolateral Reconstruction,4346964,Reconstruction of posterior cruciate ligament of knee joint
Posterolateral Repair & Augmentation,4343674,Reconstruction of anterior cruciate ligament of knee joint
Prostate Guiding Bx,4306147,Diagnostic Doppler ultrasonography
Punch Biopsy,4266866,Superficial fine needle aspiration biopsy
Radical Hysterectomy c Pelvic L/D s Paraaortic LN Bx.,2004463,Total abdominal hysterectomy
Radiofrequency Ablation Liver Tumors(Percutaneous),4145687,Percutaneous radiofrequency ablation of lesion of liver
Rapid ACTH Stimulation Test,4048576,Stimulation test
"Rec.of Cruciate Ligament & Augment.with Artificial Ligament,Pos.",4343674,Reconstruction of anterior cruciate ligament of knee joint
RECONSTRUCTION OF ACHILLES TEN,4072039,Repair of tendo achilles
RECONSTRUCTION OF ORBITAL FRAC,2103277,Open treatment of orbital floor blowout fracture; combined approach
"Removal of Fixation Device, Toe,Metatarsal",4200846,Removal of internal fixation device from carpals and/or metacarpals
Repair of Labrum(Arthroscopy surgery),4343908,Ligament reconstruction
Repair of Meniscus(Medial or Lat.),4343904,Repair of meniscus
Resin post & core,4126597,Post core preparation of tooth
Rotation (UCF with SVV),4064324,Rotational test
S1-Synovectomy (shoulder),4027004,Excision of joint
"S2-Osteotomy, Lower Extremity",4305752,Osteotomy
"S6-Operation of Herniated Disc, Lumbar Spine",4124750,Total laminectomy
SCIATIC N.B,4200837,Injection of anesthetic agent into sciatic nerve
SCLERAL SUTURE,2000554,Suture of laceration of sclera
Sedation sleep EEG(18채널이상),4088246,Sleep electroencephalogram
SKIN GRAFT(BIOLOGIC DRESSING),4291637,Split thickness skin graft
Slit-Lamp under Biomicroscopy,2007827,Fluorescein angiography or angioscopy of eye
"Thrombectomy,Others Artery",4287324,Thrombectomy of artery
Tracheostomy,2106562,"Tracheostomy, planned (separate procedure)"
"Transplantation of Muscle and Tendon, Younts OP",4343908,Ligament reconstruction
WEDGE RESECTION OF LUNG,4337604,Single wedge excision of lung
냉수방광검사,4102237,Bladder cooling test
염증성처치-상급종합병원 중환자실 입원,2007632,Application of other wound dressing
학습종합평가A,4161195,Learning assessment
BT Lower Extremity Doppler(F/U),46272013,Doppler ultrasonography of vein
Cauterization Pharynx or Larynx,4099751,Cauterization
CVVH(catheter insert day),4051330,Continuous venovenous hemofiltration
FACIAL MRI(보험),2211344,"Magnetic resonance (eg, proton) imaging, orbit, face, and/or neck; without contrast material(s), followed by contrast material(s) and further sequences"
"FISH,DiGeorge (TUPLE1)",4142271,Fluorescence in situ hybridization
"Foley training, Q6hrs",4312867,Neurogenic bladder rehabilitation
Graft Tong,4035591,Application of skull traction
IMS 2(Intramuscular Stimulation Therapy 2) ,46285125,Application of neuromuscular electrical stimulation device
INTRA AORTIC BALLON PUMPING,4060257,Insertion of intra-aortic balloon counterpulsation
"MEP(RM),하지",2314140,"Short-latency somatosensory evoked potential study, stimulation of any/all peripheral nerves or skin sites, recording from the central nervous system; in lower limbs"
"MMSE,간이정신진단검사",4195310,Minnesota multiphasic personality inventory
Operation for Osmidrosis,44782500,Operative procedure on axilla
Optokinetic Nystagmus test,4252403,Optokinetic nystagmus test
Oxymeter,46232373,Respiratory tests
"Paravertebral Nerve(척수신경총,신경근 및 신경절차?",4332712,Local anesthetic block on spinal nerve ganglion
Parental Interview,4197269,Family therapy
Preg Test(급여),4055285,Urine pregnancy test
"Read Out, Chest C-T",44797583,Computerized tomography of chest with high resolution
Removal of Soft Tissue Benign tumor,4167978,Excision of lesion of soft tissue
Rhinomanometry,4092976,Nasal airway assessment
RIS를 이용한 급속항온수혈,4204138,Warming subject using infusion of warm intravenous fluid
"S3-Bone Revision, Finger",2006268,Revision of amputation stump
"S6-Discectomy, Thoracic",4118092,Excision of thoracic intervertebral disc
SEP,2314139,"Short-latency somatosensory evoked potential study, stimulation of any/all peripheral nerves or skin sites, recording from the central nervous system; in upper limbs"
"Suture of Intraoral Wound(Lingua,Palate,Floor of Mouth),2.5cm이상",2108651,"Repair of laceration of tongue, floor of mouth, over 2.6 cm or complex"
"Tx. of the Peridontal Disease,Sciling or Gingiva Curettage",4234850,Periodontic adjunctive service
U/S (Abdomen),46271868,Ultrasonography of thoracic outlet
"Ureteral Stent, 경피적 삽입",2109639,"Ureterotomy for insertion of indwelling stent, all types"
(다종)백혈구여과제거성분채혈혈소판,2720533,"Platelets, pheresis, each unit"
"(전공의)창상봉합 안면외,단순,2범위5cm이상또는근육",4088727,Closure by suture
"(OR)Pulsed RF Thermocoagulation,rootblock,Simple",44514762,Percutaneous radiofrequency ablation of lesion of bone
개인부모상담(인지치료),44804575,Parent education about child health
경두개자기자극술(추가 치료),4130731,Transcranial magnetic stimulation
경요도적전립선절제술,4234536,Transurethral prostatectomy
고실천자(편측),4160183,Tympanocentesis
마취중 산소포화도감시,2314047,Noninvasive ear or pulse oximetry for oxygen saturation; single determination
부분체외순환10시간초과익일부터[1일당],4150658,"Regional extracorporeal circulation, except hepatic"
