row,drugname,concept_id,concept_name
45,0.45%염화나트륨주사액 1000ML,967905,Sodium Chloride 0.0769 MEQ/ML Injectable Solution
46,0.5% 티모프틱 안약(5ML/B),19079776,Timolol 5 MG/ML Ophthalmic Solution
47,0.9% 생리식염 주 50ML,19079524,Sodium Chloride 0.154 MEQ/ML Injectable Solution
48,0.9% NS (30ml)(40A/box),19079524,Sodium Chloride 0.154 MEQ/ML Injectable Solution
49,0.9% NS 100ml/Bag,19079524,Sodium Chloride 0.154 MEQ/ML Injectable Solution
50,0.9% NS 100ml/POT (약국용),19079524,Sodium Chloride 0.154 MEQ/ML Injectable Solution
51,0.9% NS 150ml/Bot,19079524,Sodium Chloride 0.154 MEQ/ML Injectable Solution
52,0.9% NS 150ml/Bot,967823,Sodium Chloride
53,0.9% NS 1L/Bag,19079524,Sodium Chloride 0.154 MEQ/ML Injectable Solution
54,0.9% NS 20ml(50A/box),19079524,Sodium Chloride 0.154 MEQ/ML Injectable Solution
55,0.9% NS 250ml/Bag,19079524,Sodium Chloride 0.154 MEQ/ML Injectable Solution
56,0.9% NS 3L/Bag,19079524,Sodium Chloride 0.154 MEQ/ML Injectable Solution
57,0.9% NS 3L/Bag(CJ),19079524,Sodium Chloride 0.154 MEQ/ML Injectable Solution
58,0.9% NS 50ml/Bag,19079524,Sodium Chloride 0.154 MEQ/ML Injectable Solution
59,1.5% 씨에이피디 2 밸런스 복강 투석액 2L,19011035,Lactate
60,1.5% 씨에이피디 2 밸런스 복강 투석액 2L,19036781,Calcium Chloride
61,1.5% 씨에이피디 2 밸런스 복강 투석액 2L,19092849,Magnesium Chloride
62,1.5% 씨에이피디 2 밸런스 복강 투석액 2L,19097059,DEXTROSE SOLUTION
63,1.5% 씨에이피디 2 밸런스 복강 투석액 2L,939506,Sodium Bicarbonate
64,1.5% 씨에이피디 2 밸런스 복강 투석액 2L,967823,Sodium Chloride
65,1:2 SD 500ml/Bag,19097059,DEXTROSE SOLUTION
66,1:2 SD 500ml/Bag,967823,Sodium Chloride
67,1:4 SD 1L/Bag,19097059,DEXTROSE SOLUTION
68,1:4 SD 1L/Bag,967823,Sodium Chloride
69,1:4 SD 500ml/Bag,19097059,DEXTROSE SOLUTION
70,1:4 SD 500ml/Bag,967823,Sodium Chloride
71,10% 글리세린 500ML,956691,Fructose
72,10% 글리세린 500ML,961145,Glycerin
73,10% 후라바솔 500ML,19130902,Alanine 5.4 MG/ML / Arginine 12 MG/ML / Aspartate 3.2 MG/ML / Cysteine 0.24 MG/ML / Glutamate 5 MG/ML / Glycine 3.6 MG/ML / Histidine 4.8 MG/ML / Isoleucine 8.2 MG/ML / Leucine 1.4 MG/ML / Lysine 1.2 MG/ML / Methionine 3.4 MG/ML / Phenylalanine 4.8 MG/ML
74,10% 후레아민(주) 500ml,19124969,Amino Acids
75,10% D/W 1L/BOT,1560553,Glucose 100 MG/ML Injectable Solution
76,10% D/W 500ml/POT,1560553,Glucose 100 MG/ML Injectable Solution
77,10% DW 1L/Bag,1560553,Glucose 100 MG/ML Injectable Solution
78,10% DW 1L/POT,1560553,Glucose 100 MG/ML Injectable Solution
79,10% DW 500ml/Bag,1560553,Glucose 100 MG/ML Injectable Solution
80,10% DW 500ml/Bot(약국용),19097059,DEXTROSE SOLUTION
81,10%포도당가엔에이.케이주2 1L,19076288,Glucose 100 MG/ML / Potassium Chloride 0.02 MEQ/ML / Sodium Chloride 0.0342 MEQ/ML Injectable Solution
82,120mg 파스틱 정,1502829,nateglinide 120 MG Oral Tablet
83,15% 포도당 주사액 1000ML,19097059,DEXTROSE SOLUTION
84,150mg 엔테론 정,43525901,Vitis vinifera leaf extract
85,15MG 메로콕스 캡슐,19103397,meloxicam 15 MG Oral Capsule
86,1mg 미라펙스 정,40165177,Pramipexole dihydrochloride 1 MG Oral Tablet
87,2% 레카신 액 100ML,40227062,Lidocaine Hydrochloride 20 MG/ML Topical Solution
88,2.3% 씨에이피디 4 밸런스 복강 투석액 2L,19011035,Lactate
89,2.3% 씨에이피디 4 밸런스 복강 투석액 2L,19036781,Calcium Chloride
90,2.3% 씨에이피디 4 밸런스 복강 투석액 2L,19092849,Magnesium Chloride
91,2.3% 씨에이피디 4 밸런스 복강 투석액 2L,19097059,DEXTROSE SOLUTION
92,2.3% 씨에이피디 4 밸런스 복강 투석액 2L,939506,Sodium Bicarbonate
93,2.3% 씨에이피디 4 밸런스 복강 투석액 2L,967823,Sodium Chloride
94,20% 만니톨 주 100ML,994096,Mannitol 200 MG/ML Injectable Solution
95,20% DW 20ml,1560554,Glucose 200 MG/ML Injectable Solution
96,20% DW 20ml(중외),1560554,Glucose 200 MG/ML Injectable Solution
97,20% DW 300ml/Bot,1560554,Glucose 200 MG/ML Injectable Solution
98,20% DW 600ml/Bag,19097059,DEXTROSE SOLUTION
99,20% Mannitol 100ml/Bag,994096,Mannitol 200 MG/ML Injectable Solution
100,20% Mannitol 250ml/Bot,994096,Mannitol 200 MG/ML Injectable Solution
101,20% Mannitol(대한) 100ml/Bag,994096,Mannitol 200 MG/ML Injectable Solution
102,20mg 파리에트 정,40163285,Rabeprazole sodium 20 MG Delayed Release Oral Tablet
103,25% Mannitol 100ml/Bot,19078824,Mannitol 250 MG/ML Injectable Solution
104,25MG 테놀민 정,19018811,Atenolol 25 MG Oral Tablet
105,3% NaCl Sol 500ml/Bot,19127417,Sodium Chloride 0.513 MEQ/ML Injectable Solution
106,30mg 사미온 정,19018354,Nicergoline 30 MG Oral Tablet
107,3-TC Tab 150mg,1704186,Lamivudine 150 MG Oral Tablet
108,4.25% 씨에이피디 3 밸런스 복강 투석액 2L,19011035,Lactate
109,4.25% 씨에이피디 3 밸런스 복강 투석액 2L,19036781,Calcium Chloride
110,4.25% 씨에이피디 3 밸런스 복강 투석액 2L,19092849,Magnesium Chloride
111,4.25% 씨에이피디 3 밸런스 복강 투석액 2L,19097059,DEXTROSE SOLUTION
112,4.25% 씨에이피디 3 밸런스 복강 투석액 2L,939506,Sodium Bicarbonate
113,4.25% 씨에이피디 3 밸런스 복강 투석액 2L,967823,Sodium Chloride
114,5% 리나치올 시럽 1ML,19041846,Carbocysteine 50 MG/ML Oral Solution
115,5% 포도당 주 50ML,19097059,DEXTROSE SOLUTION
116,5% 포도당주사액 100ML,19097059,DEXTROSE SOLUTION
117,5% D/S 1L/BOT,967825,Glucose 50 MG/ML / Sodium Chloride 0.154 MEQ/ML Injectable Solution
118,5% D/S 500ml/BOT,967825,Glucose 50 MG/ML / Sodium Chloride 0.154 MEQ/ML Injectable Solution
119,5% D/W 1L/BAG,19076324,Glucose 50 MG/ML Injectable Solution
120,5% D/W 500ml/BAG,19076324,Glucose 50 MG/ML Injectable Solution
121,5% D/W 500ml/BOT(약국용),19023067,Glucose 100 MG/ML Oral Solution
122,5% DS 1L/Bag,967825,Glucose 50 MG/ML / Sodium Chloride 0.154 MEQ/ML Injectable Solution
123,5% DS 1L/POT,967825,Glucose 50 MG/ML / Sodium Chloride 0.154 MEQ/ML Injectable Solution
124,5% DS 500ml/Bag,967825,Glucose 50 MG/ML / Sodium Chloride 0.154 MEQ/ML Injectable Solution
125,5% DW 100ml/Bag,19076324,Glucose 50 MG/ML Injectable Solution
126,5% DW 100ml/Bot (약국용),19097059,DEXTROSE SOLUTION
127,5% DW 1L/Bot (약국용),19076324,Glucose 50 MG/ML Injectable Solution
128,5% DW 1L/POT,19076324,Glucose 50 MG/ML Injectable Solution
129,5% DW 200ml/BOT,1560556,Glucose 500 MG/ML Injectable Solution
130,5% DW 200ml/Bot,19097059,DEXTROSE SOLUTION
131,5% DW 500ml/Bag,19076324,Glucose 50 MG/ML Injectable Solution
132,5%포도당가생리식염액 1000ML,967825,Glucose 50 MG/ML / Sodium Chloride 0.154 MEQ/ML Injectable Solution
133,5%포도당가생리식염액 500ML,967825,Glucose 50 MG/ML / Sodium Chloride 0.154 MEQ/ML Injectable Solution
134,5%포도당가엔에이.케이주2호 1L,19049105,Potassium Chloride
135,5%포도당가엔에이.케이주2호 1L,19097059,DEXTROSE SOLUTION
136,5%포도당가엔에이.케이주2호 1L,967823,Sodium Chloride
137,50% 포도당(주) 100ml,19097059,DEXTROSE SOLUTION
138,50% D/W 500ml/BOT,1560556,Glucose 500 MG/ML Injectable Solution
139,50% DW 100ml/POT,1560556,Glucose 500 MG/ML Injectable Solution
140,50% DW 500ml/Bag,1560556,Glucose 500 MG/ML Injectable Solution
141,50%포도당 주사액 500ML,1560556,Glucose 500 MG/ML Injectable Solution
142,5-FU Inj 1000mg/20ml,955641,Fluorouracil 50 MG/ML Injectable Solution
143,5-FU Inj 250mg/5ml,955641,Fluorouracil 50 MG/ML Injectable Solution
144,5-FU Inj 500mg/10ml,955641,Fluorouracil 50 MG/ML Injectable Solution
145,5MG 디아제팜 정(향),723042,Diazepam 5 MG Oral Tablet
146,8mg 레미닐 정,19077573,Galantamine 8 MG Oral Tablet
147,가란타제산,998598,ALPHA-D-GALACTOSIDASE ENZYME
148,가바틴 정 600mg,19077550,gabapentin 600 MG Oral Tablet
149,가바틴 캡슐 400mg,19077549,gabapentin 400 MG Oral Capsule
150,가스트렉스 과립 1g/1.5g/PA,21600109,Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)
151,가스피로 캅셀,21600701,"multienzymes (lipase, protease etc.)"
152,가트린 주 10mg/2ml/AM,19057690,Gallamine
153,가티플로점안액 5ml/BT,1757803,Ganciclovir
154,갈라민트 주 10MG/2ML,19057690,Gallamine
155,갈스파 연질캅셀,1517824,Niacin
156,건일 로딘 서방정 600mg,19071692,Etodolac 600 MG Extended Release Oral Tablet
157,건일네틸마이신주100mg,19017588,Netilmicin 50 MG/ML Injectable Solution
158,건일네틸마이신주150mg,19057566,Netilmicin 100 MG/ML Injectable Solution
159,게로미르톨포르테 연질캅셀,19018433,myrtol
160,겐타마이신 크림 10G/TB,919346,Gentamicin Sulfate (USP) 1 MG/ML Topical Cream
161,겔마 현탄액 10G/포,19068893,guaiazulene
162,겔마 현탄액 10G/포,916662,dimethicone
163,겟투겔 50g,1185922,Ketoprofen
164,과립 카리메트 5g/pack,19112563,Calcium polystyrene sulfonate product
165,관류용 멸균증류수 1000ML,19010309,Water
166,광동 타리풀 정 370mg,19063726,talniflumate 370 MG Oral Tablet
167,광동 티라미드 정 100mg,19100759,tiropramide
168,광동황산네틸마이신 주 100mg/2ml/AM,19017588,Netilmicin 50 MG/ML Injectable Solution
169,광동황산네틸마이신 주 150mg/AM,19057566,Netilmicin 100 MG/ML Injectable Solution
170,광명 3% 염화칼슘 주,19036781,Calcium Chloride
171,광명 생리식염주,19079524,Sodium Chloride 0.154 MEQ/ML Injectable Solution
172,광명 염화칼륨주사액,19027661,Potassium Chloride 2 MEQ/ML Injectable Solution
173,광명염산로페라마이드 캅셀 2mg,40184727,Loperamide Hydrochloride 2 MG Oral Capsule
174,광명포도당20% 20ML,1560554,Glucose 200 MG/ML Injectable Solution
175,광명황산아트로핀주사액,40243420,Atropine Sulfate 0.5 MG/ML Injectable Solution
176,구주프로티온아미드 정 125mg,19135812,Prothionamide
177,그라신 주 300mcg,42902763,Filgrastim 0.48 MG/ML Prefilled Syringe
178,그리메피드 정 2mg,1597772,glimepiride 2 MG Oral Tablet
179,그린 플라스트,1300673,Thrombin
180,그린 플라스트,19000729,Aprotinin
181,그린 플라스트,19036781,Calcium Chloride
182,그린 플라스트,19044986,fibrinogen concentrate (human)
183,극동 피록시캄주사,1146882,Piroxicam 20 MG/ML Injectable Solution
184,근화 세제탐 주 1g/VI,21602875,cefazedone
185,근화 스피로노락톤 25MG,19079658,Spironolactone 25 MG Oral Tablet
186,근화주사용페니실린지칼륨 500만단위,1728416,Penicillin G
187,근화카리메트산 5g/PA,19112563,Calcium polystyrene sulfonate product
188,근화플루코나졸캡슐 50mg,1755001,Fluconazole 50 MG Oral Capsule
189,글라이프레신 주 1mg/VI,19007068,terlipressin 0.2 MG/ML Injectable Solution
190,글라케이 연질캅셀 15mg,19072027,menatetrenone
191,글레존 정 15mg,1525221,pioglitazone 15 MG Oral Tablet
192,글루코파지 정 500MG,40164929,Metformin hydrochloride 500 MG Oral Tablet
193,글루콘산클로르헥시닌가글250ML,1790812,Chlorhexidine
194,글리마인 연질캡슐 400mg,19063928,Choline 400 MG Oral Capsule
195,글리멜 정 2mg,1597772,glimepiride 2 MG Oral Tablet
196,글리벡 정 100MG,19102501,imatinib 100 MG Oral Tablet
197,글리아티린 연질캅셀,19063928,Choline 400 MG Oral Capsule
198,글리아티린 주사  1G/Amp,21604814,choline alfoscerate
199,기넥신에프 정 80mg,1391915,Ginkgo biloba extract 80 MG Oral Tablet
200,나독솔 주 15mg/2ml/AM,19088170,Ambroxol 7.5 MG/ML Injectable Solution
201,나라돌 주 500mcg,1329415,Dinoprostone
202,나라믹 정 2.5mg,1118121,naratriptan 2.5 MG Oral Tablet
203,나록손 주 2MG/2ML,40244030,Naloxone Hydrochloride 1 MG/ML Injectable Solution
204,나이트랄 크림 20g,19123624,flutrimazole
205,나제아 오디정 0.1mg,21600492,Serotonin (5HT3) antagonists
206,나조넥스 나잘 스프레이 140 Dose,905237,mometasone furoate 0.05 MG/ACTUAT Nasal Spray
207,낙센-에프 서방정 1G,19022103,Naproxen 1000 MG Extended Release Oral Tablet
208,네리막스(=둘코락스) 정,924939,Bisacodyl
209,네리막스(=둘코락스) 정,941258,Docusate
210,네비스톨 정 5mg,19101573,nebivolol 5 MG Oral Tablet
211,네스프 프리필드시린지주 40,1304645,1 ML darbepoetin alfa 0.04 MG/ML Injection
212,네오마찐정 100MG,40179642,Chlorpromazine hydrochloride 100 MG Oral Tablet
213,네오본 주 1mcg/1ml/AM,19074494,Calcitriol 0.001 MG/ML Injectable Solution
214,네오세틴 액,40163626,levocetirizine dihydrochloride 0.5 MG/ML Oral Solution
215,네프비타 정,40167860,Ascorbic Acid 60 MG / Calcium Pantothenate 10 MG / D-BIOTIN 0.3 MG / Folic Acid 0.8 MG / Niacinamide 20 MG / pyridoxine 10 MG / Riboflavin 1.7 MG / Thiamine 1.5 MG / Vitamin B 12 0.006 MG Oral Tablet
216,넬슨벤프로페린 정 20mg,19056541,benproperine
217,노르핀 주 4ml,19011871,Norepinephrine 2 MG/ML Injectable Solution
218,노바스크 정 10mg,19073093,Amlodipine 10 MG Oral Tablet
219,노바스탄 주 10mg/20ml/AM,1322207,argatroban
220,노보넘 정 0.5mg,42902238,Estradiol 1 MG / norethindrone acetate 0.5 MG Oral Tablet
221,노보래피드플렉스펜주100IU/ml(*3ml),19078558,"Insulin, Aspart, Human 100 UNT/ML Injectable Solution"
222,노보렛 엔 100IU/ml(*3ml),1596959,"3 ML insulin human, isophane 100 UNT/ML Prefilled Syringe"
223,노보린 알 주,19078555,"Regular Insulin, Human 100 UNT/ML Injectable Solution"
224,노보믹스50플렉스펜주 100IU/ml(*3ml),1567235,"3 ML Insulin, Aspart, Human 100 UNT/ML Prefilled Syringe"
225,노큐론 주 4mg,19022616,Vecuronium 4 MG/ML Injectable Solution
226,녹십자바이오텍헤파린나트륨주사액,19077987,Heparin 5000 UNT/ML Injectable Solution
227,녹십자알부민주 20% 100ml,1344177,"Albumin Human, USP 200 MG/ML Injectable Solution"
228,녹십자인트라리포즈 10% 500ML,19023490,Soybean Oil 100 MG/ML Injectable Suspension
229,놀바덱스 정 10mg,19019851,Tamoxifen 10 MG Oral Tablet
230,놀바덱스디 정 20mg,1436683,Tamoxifen 20 MG Oral Tablet
231,놀텍 정 10mg,21600095,Proton pump inhibitors
232,누벨 28정 / 1pack,1548195,Estradiol
233,누벨 28정 / 1pack,1589505,Levonorgestrel
234,누코미트 액 800mg/4ml,19072270,Acetylcysteine 200 MG/ML Inhalant Solution
235,뉴로메드 정 800mg,19106778,oxiracetam 800 MG Oral Tablet
236,뉴로셉트 정 5mg,40223778,Donepezil hydrochloride 5 MG Oral Tablet
237,뉴로칸 정 500mg,19107043,Acetylcarnitine 500 MG Oral Tablet
238,뉴론틴 캅셀 300mg,19077548,gabapentin 300 MG Oral Capsule
239,뉴마그 정,19106383,Magnesium lactate 470 MG / Vitamin B6 5 MG Oral Tablet
240,뉴스타틴-알 정 10mg,40165245,Rosuvastatin calcium 10 MG Oral Tablet
241,뉴스타틴-에이 정 10mg,1545997,atorvastatin 10 MG Oral Tablet
242,뉴스타틴-에이 정 20mg,19123592,atorvastatin 20 MG Oral Tablet
243,뉴오랄 100mg,19082899,Cyclosporine 100 MG Oral Capsule
244,뉴오랄 25mg,19010484,Cyclosporine 25 MG Oral Capsule
245,뉴토인 정 10mg,40223768,Donepezil hydrochloride 10 MG Oral Tablet
246,뉴토인 정 5mg,40223778,Donepezil hydrochloride 5 MG Oral Tablet
247,뉴트리 프렉스 페리 40 주사 1000ML,19000537,Threonine
248,뉴트리 프렉스 페리 40 주사 1000ML,19004724,Methionine
249,뉴트리 프렉스 페리 40 주사 1000ML,19035577,Phenylalanine
250,뉴트리 프렉스 페리 40 주사 1000ML,19052736,Proline
251,뉴트리 프렉스 페리 40 주사 1000ML,19066774,Serine
252,뉴트리 프렉스 페리 40 주사 1000ML,962398,Glycine
253,뉴트리플렉스리피드 페리 주 1875ml,1560524,Glucose
254,뉴트리플렉스리피드 페리 주 1875ml,19006410,Arginine
255,뉴트리플렉스리피드 페리 주 1875ml,19011069,Asparagine
256,뉴트리플렉스리피드 페리 주 1875ml,19052489,Alanine
257,뉴트리플렉스리피드 페리 주 1875ml,19086233,"calcium chloride, dihydration"
258,뉴트리플렉스리피드 페리 주 1875ml,962398,Glycine
259,뉴트리플렉스리피드페리주사 1250ml,19006410,Arginine
260,뉴트리플렉스리피드페리주사 1250ml,19011069,Asparagine
261,뉴트리플렉스리피드페리주사 1250ml,19052489,Alanine
262,뉴트리플렉스리피드페리주사 1250ml,19096877,Anhydrous Dextrose
263,뉴트리플렉스리피드페리주사 1250ml,45776278,calcium chlorate dihydrate
264,뉴트리플렉스리피드페리주사 1250ml,962398,Glycine
265,니모디핀 정,1319136,Nimodipine 30 MG Oral Tablet
266,니모톱 주 10mg/50ml,1319135,Nimodipine 0.2 MG/ML Injectable Solution
267,니세틸 정,19107043,Acetylcarnitine 500 MG Oral Tablet
268,니트로글리세린 0.6MG,19019337,Nitroglycerin 0.6 MG Sublingual Tablet
269,니트로링구알 스프레이 12.2ml/BT,19126352,Nitroglycerin 0.4 MG/ACTUAT Mucosal Spray
270,니트로링구알 주 10mg/10ml/AM,1361860,Nitroglycerin 1 MG/ML Injectable Solution
271,니트로링구알 주 50mg/50ml/VI,1361860,Nitroglycerin 1 MG/ML Injectable Solution
272,니트로신 10MG,1361860,Nitroglycerin 1 MG/ML Injectable Solution
273,니페딕스 지속정 30mg,19112979,Nifedipine 30 MG Extended Release Oral Tablet
274,님벡스 주 20mg/10ml/AM,19016315,Cisatracurium 2 MG/ML Injectable Solution
275,다오닐 정 5mg,19077682,Glyburide 5 MG Oral Tablet
276,다이나백 정 250Mg/Tab.,1790024,dirithromycin
277,다이보넥스 연고 30G/TB(수),908944,calcipotriene 0.00005 MG/MG Topical Ointment
278,다이보베트 연고 30g/TU,908921,calcipotriene
279,다이보베트 연고 30g/TU,920458,Betamethasone
280,다이아닐 피디-2 1.5% 2L/2백,19011035,Lactate
281,다이아닐 피디-2 1.5% 2L/2백,19036781,Calcium Chloride
282,다이아닐 피디-2 1.5% 2L/2백,19092849,Magnesium Chloride
283,다이아닐 피디-2 1.5% 2L/2백,19097059,DEXTROSE SOLUTION
284,다이아닐 피디-2 1.5% 2L/2백,967823,Sodium Chloride
285,다이아막스 250MG,19018781,Acetazolamide 250 MG Oral Tablet
286,다이아벡스 엑스알 서방정500MG,40164925,Metformin hydrochloride 500 MG Extended Release Oral Tablet
287,다이아벡스 정 1000mg,40164897,Metformin hydrochloride 1000 MG Oral Tablet
288,다이크로짇 정 25mg,19078106,Hydrochlorothiazide 25 MG Oral Tablet
289,대웅프라놀 40MG,40163342,Propranolol Hydrochloride 40 MG Oral Tablet
290,대원 마구내신 주,19093848,Magnesium Sulfate
291,대원덱사메타손 주 5mg/1ml,19006963,Dexamethasone 5 MG/ML Injectable Solution
292,대원돔페리돈현탁액,19062181,Domperidone 1 MG/ML Oral Suspension
293,대원루미날,734488,Phenobarbital 100 MG/ML Injectable Solution
294,대원말레인산에르고메트린정,1305641,Methylergonovine 0.125 MG Oral Tablet
295,대원아미노필린 100MG,1105837,Aminophylline 100 MG Oral Tablet
296,대원염산에페드린 주,1143374,Ephedrine
297,대원페노바르비탈정 30 MG,734711,Phenobarbital 30 MG Oral Tablet
298,대한 염산에피네프린 주 1mg/1ml/AM,19076899,Epinephrine 1 MG/ML Injectable Solution
299,대한20%포도당주사액 300ml,1560554,Glucose 200 MG/ML Injectable Solution
300,대한멸균생리식염수 20ml(suction용),19079524,Sodium Chloride 0.154 MEQ/ML Injectable Solution
301,대한멸균생리식염수1000ml,967823,Sodium Chloride
302,대한멸균생리식염수500ml,967823,Sodium Chloride
303,대한아스코르브산 주사액 100mg/2ml,19011972,Ascorbic Acid 50 MG/ML Injectable Solution
304,대한포도당 5% 1000ML,19076324,Glucose 50 MG/ML Injectable Solution
305,대한포도당주사액 5% 1L,19076324,Glucose 50 MG/ML Injectable Solution
306,대한포도당주사액 5% 500ml,19097059,DEXTROSE SOLUTION
307,더마톱 액 0.25%,19105426,prednicarbate 2.5 MG/ML Topical Solution
308,더마톱 연고 0.25% 10G,928110,prednicarbate
309,더모픽스 질정 500mg,939134,sertaconazole
310,더모픽스 크림 10g/TB,19062961,sertaconazole 20 MG/ML Topical Cream
311,데나제정,19030387,Bromelains
312,데나제정,915841,Deoxyribonucleases
313,데노간 주 1g/VI,1125315,Acetaminophen
314,데스오웬 로오션 0.05%,917207,Desonide 0.5 MG/ML Topical Lotion
315,데카키논캅셀 5mg,1351115,coenzyme Q10
316,데파스 정 1mg (향),21604584,etizolam
317,데파킨 정 500mg,745466,Valproate
318,데파킨 주 400mg,745466,Valproate
319,델타코테프 정 5mg,1550560,prednisolone 5 MG Oral Tablet
320,도란사민에스 주 500mg/5ml/AM,19057433,Tranexamic Acid 100 MG/ML Injectable Solution
321,도미컴 주 5MG,19078924,Midazolam 1 MG/ML Injectable Solution
322,도스민 정 60mg,40173888,Pyridostigmine Bromide 60 MG Oral Tablet
323,도푸라민 주 200mg/5ml/AM,40240700,Dopamine Hydrochloride 40 MG/ML Injectable Solution
324,독시움 정 250mg,19107815,Calcium Dobesilate 250 MG Oral Tablet
325,돌트람셋 세미정,1103314,Tramadol
326,돌트람셋 세미정,1125315,Acetaminophen
327,돌트람셋 정,1103359,Acetaminophen 325 MG / tramadol hydrochloride 37.5 MG Oral Tablet
328,돔페리돈 과립,19062160,Domperidone 10 MG Oral Granules
329,동신 Albumin 20%(100ml),1344177,"Albumin Human, USP 200 MG/ML Injectable Solution"
330,동신알부민 20% 100ML(동신),1344177,"Albumin Human, USP 200 MG/ML Injectable Solution"
331,동아 오팔몬 정 5mcg,21601587,Other peripheral vasodilators
332,동아가스터정 20mg,19077241,Famotidine 20 MG Oral Tablet
333,동아슈프락스 100MG,1796435,Cefixime
334,동아슈프락스 산 50mg/1g,1796435,Cefixime
335,동아슈프락스산 50mg/1G,1796435,Cefixime
336,동아아드리아마이신 10MG,40243759,Doxorubicin Hydrochloride 2 MG/ML Injectable Solution
337,동아엑세그란 정 100mg,19066366,zonisamide 100 MG Oral Tablet
338,동아타나트릴 정 10mg,19101751,imidapril 10 MG Oral Tablet
