row,procedurename,concept_id,concept_name
107,(조사)전혈 400ml,2720516,"Blood (whole), for transfusion, per unit"
108,(췌담도) Sleeping Endo sono,4306147,Diagnostic Doppler ultrasonography
109,(췌담도)수면각성 Endo sono,4306147,Diagnostic Doppler ultrasonography
110,(췌담도)Endo sono,4306147,Diagnostic Doppler ultrasonography
111,(하부)수면각성 Endo sono,4306147,Diagnostic Doppler ultrasonography
112,(하부)Endo sono,4306147,Diagnostic Doppler ultrasonography
113,(하부)Sleeping Endo sono,4306147,Diagnostic Doppler ultrasonography
114,"(혈액원)백혈구 여과 제거 적혈구, 전혈 400ml",2720522,"Red blood cells, leukocytes reduced, each unit"
115,"(혈액원)백혈구여과제거적혈구,전혈 400ml",2720522,"Red blood cells, leukocytes reduced, each unit"
116,"(혈액원, 조사 다종)백혈구여과제거 성분채집 혈소판",2720533,"Platelets, pheresis, each unit"
117,"(혈액원, 조사)백혈구 여과 제거 적혈구, 전혈 400ml",2720522,"Red blood cells, leukocytes reduced, each unit"
118,"(혈액원, 조사)백혈구여과제거 성분채집 혈소판(250ml",2720534,"Platelets, pheresis, leukocytes reduced, each unit"
119,"(CARPAL BONE,TARSAL BONE)",4106045,Closed reduction and fixation of fracture
120,"(CLAVICLE,PATELLA)",43531173,Open reduction of dislocation of patellofemoral joint
121,"(CLAVICLE,PATELLA)",2104301,"Open treatment of carpal bone fracture (other than carpal scaphoid [navicular]), each bone"
122,"(CLAVICLE,PATELLA)",2103733,"Open treatment of clavicular fracture, includes internal fixation, when performed"
123,"(CLAVICLE,PATELLA)",2105720,"Open treatment of tarsal bone fracture (except talus and calcaneus), includes internal fixation, when performed, each"
124,"(ELBOW,WRIST,ANKLE)",4027004,Excision of joint
125,"(ER전용,수기료) 폐쇄식흉강삽관술(전문의시행)",2001418,Closure of thoracostomy
126,"(ER전용,수기료) 흉강삽관술(폐쇄식)주치의시행",2001418,Closure of thoracostomy
127,(FEMUR),4012182,Closed reduction of fracture of femur
128,(FEMUR),4286744,Open reduction of fracture of femur
129,(Forearm Bone),4079114,Closed reduction of fracture of radius and/or ulna
130,(OR) Lumbar Puncture,2110609,"Spinal puncture, lumbar, diagnostic"
131,"(OR)고주파 열 응고법, 경부이하,Simple",44514762,Percutaneous radiofrequency ablation of lesion of bone
132,"(OR)고주파 열 응고법, 두부,Simple",44514762,Percutaneous radiofrequency ablation of lesion of bone
133,(OR)교감신경절 Block (요부),4142322,Sympathetic nerve or ganglion block
134,(OR)복강신경총 파괴술(Celiac plexus Block),4237430,Gasserian ganglion block
135,"(OR)선택적 경추간공 경막외Block,2level부터(경추및흉추)",4120974,Local anesthetic cervical epidural block
136,"(OR)선택적 경추간공 경막외Block,2level부터(경추및흉추)",4118957,Local anesthetic thoracic epidural block
137,"(OR)선택적 경추간공 경막외Block,2level부터(요추및천추)",4110978,Local anesthetic lumbar epidural block
138,(OR)요부교감신경절 파괴술(Lumbar sympathetic ganglion Block),4237430,Gasserian ganglion block
139,(OR)척추후근신경절(DRG) Block,4335033,Dorsal root ganglion block
140,(OR)흉부교감신경절 파괴술(Thoracic sympathetic ganglion Block),4237430,Gasserian ganglion block
141,(OR)Facet Joint Block,4333294,Transsacral local anesthetic nerve block
142,(OR)Psoascompartment Nerve Block,4145565,Local anesthetic block of nerve plexus
143,"(OR)Pulsed RF Thermocoagulation,두부,Simple",44514762,Percutaneous radiofrequency ablation of lesion of bone
144,"(OR)Pulsed RF Thermocoagulation,rootblock,Simple",44514762,Percutaneous radiofrequency ablation of lesion of bone
145,"(OR)RF Thermocoagulation(Facet),Simple",44514762,Percutaneous radiofrequency ablation of lesion of bone
146,"(OR)Simple Pulsed RF Thermocoagulation,Sympathetic N(ui)",44514762,Percutaneous radiofrequency ablation of lesion of bone
147,"(TIBIA,HUMERUS)",4067547,Closed reduction of fracture of tibia
148,"(TIBIA,HUMERUS)",2005401,"Closed reduction of fracture without internal fixation, humerus"
149,"(WRIST,ANKLE,FINGER TOE)",4242584,Closed reduction of dislocation
150,[소아]Portable EEG,2314155,"Digital analysis of electroencephalogram (EEG) (eg, for epileptic spike analysis)"
151,"[소아]Sleep EEG(약물,수면박탈)",4088246,Sleep electroencephalogram
152,[소아]Waking EEG,4181917,Electroencephalogram
153,1 port treatment plan(2nd-3rd,4036254,Radiotherapy planning using a simulator
154,10MV X-Ray Therapy(1문대향),4165039,Teleradiotherapy using electrons
155,10MV X-Ray Therapy(A),4165039,Teleradiotherapy using electrons
156,15MV X-Ray Therapy(1문대향),4165039,Teleradiotherapy using electrons
157,17-HYDROXY PROGESTERON,46233165,Diagnostic endocrinology
158,18F FP-CIT PET(Brain),4083103,PET brain study
159,1시간초과매15분증가(B.P.B),4262378,Injection of anesthetic agent into brachial plexus
160,1차 EBUS후(초음파기관지세침흡인),44809038,EBUS-TBNA - Endobronchial ultrasound - transbronchial needle aspiration
161,1회 초음파 유도하 증식 치료,4306147,Diagnostic Doppler ultrasonography
162,1P CT TREATMENT PLAN(1st),4079574,"CT guidance for treatment planning, teletherapy"
163,1P CT TREATMENT PLAN(2-3rd)방사선치료계획(2-3회),4079574,"CT guidance for treatment planning, teletherapy"
164,2 Port treatment plan(1st),2211844,"Special teletherapy port plan, particles, hemibody, total body"
165,2 port treatment plan(2nd-3rd),4036254,Radiotherapy planning using a simulator
166,24hr Eso pH Test,2313613,"Esophagus, gastroesophageal reflux test; with nasal catheter pH electrode(s) placement, recording, analysis and interpretation"
167,24hr manometry (2),2313613,"Esophagus, gastroesophageal reflux test; with nasal catheter pH electrode(s) placement, recording, analysis and interpretation"
168,24hr manometry (2),40481822,Monitoring of esophageal impedance
169,24hrs Bed side BP Monitoring,2313967,"Ambulatory blood pressure monitoring, utilizing a system such as magnetic tape and/or computer disk, for 24 hours or longer; including recording, scanning analysis, interpretation and report"
170,24PH Manometry(1),2313613,"Esophagus, gastroesophageal reflux test; with nasal catheter pH electrode(s) placement, recording, analysis and interpretation"
171,24PH Manometry(1),40481822,Monitoring of esophageal impedance
172,2개이상 폐쐐기 절제술,4337035,Multiple wedge excisions of lung
173,2nd Suture of Facial Wound with Debridement-non inf. 大,4125906,Suture open wound
174,2P CT TREATMENT PLAN(1ST),4079574,"CT guidance for treatment planning, teletherapy"
175,2P CT TREATMENT PLAN(2-3rd)문대향 전산화치료계획(2,4079574,"CT guidance for treatment planning, teletherapy"
176,3D USG (OBGY),4306147,Diagnostic Doppler ultrasonography
177,"3P,Nonparalled CT PLAN(2-3rd)",4079574,"CT guidance for treatment planning, teletherapy"
178,4회 초음파 유도하 증식치료,4306147,Diagnostic Doppler ultrasonography
179,6분 보행검사 (6MWT),2314049,Noninvasive ear or pulse oximetry for oxygen saturation; by continuous overnight monitoring (separate procedure)
180,6분 보행검사(6-Minute walk test),2314049,Noninvasive ear or pulse oximetry for oxygen saturation; by continuous overnight monitoring (separate procedure)
181,6MV X-Ray Therapy(1문대향),4060641,X-ray beam therapy
182,가래유도검사,4151422,Sputum examination
183,가압근관충전(1근관당),4122350,Root canal obturation
184,가온가습고유량비강캐뉼라요법(1일당),4155151,Oxygen administration by nasal cannula
185,가정간호 Decubitus Care,4080499,Dressing of wound
186,가정간호 Simple Dressing,4080499,Dressing of wound
187,가족기능평가,40492724,Assessment using psychotic symptom rating scale
188,가족상담,2213548,Group psychotherapy (other than of a multiple-family group)
189,각막내피 세포촬영,2007826,Fundus photography
190,"갑상선초음파(재진,ED전용)",4306147,Diagnostic Doppler ultrasonography
191,"강내치료,관내치료 치료계획",4182062,Treatment planning for brachytherapy
192,강제견인검사 등 특수양안시기능 정밀검사,4099547,Binocular vision test
193,개인 인지치료(회기당),4036569,Cognitive therapy
194,개인력 조사,4301555,Mental health history taking assessment
195,개인부모상담(인지치료),4036569,Cognitive therapy
196,건강질문지 PHQ-15,40492724,Assessment using psychotic symptom rating scale
197,"견,고,슬,주,완,족관절 초음파(RHMD)",2006935,Other diagnostic ultrasound
198,견관절 점액낭 내 초음파(연골재생센터),4306147,Diagnostic Doppler ultrasonography
199,견관절낭 내 초음파(연골재생센터),4306147,Diagnostic Doppler ultrasonography
200,견인장치감시료(익일부터),4280205,Traction
201,"결장경하 종양 수술-폴립 절제술(1개 이상,검진당일)",40486515,Colonoscopic excision of lesion of large intestine
202,결장경하 종양 수술-폴립 절제술(검진당일),2002728,Endoscopic polypectomy of large intestine
203,결장경하점막절제술 및 점막하종양절제술(검진당일),4140920,Fiberoptic endoscopic submucosal resection of lesion of colon
204,"결장절제술(우반,좌반,림프절)",2109041,"Colectomy, partial; with anastomosis"
205,경동맥 IMT초음파(내분비내과용),4306147,Diagnostic Doppler ultrasonography
206,경동맥초음파(Carotid Doppler),4306147,Diagnostic Doppler ultrasonography
207,경두개자기자극술(초기 치료),4130731,Transcranial magnetic stimulation
208,경두개자기자극술(추가 치료),4130731,Transcranial magnetic stimulation
209,경막외 차단 0.5(경추및흉추 부위),4120974,Local anesthetic cervical epidural block
210,경막외 차단 0.5(경추및흉추 부위),4118957,Local anesthetic thoracic epidural block
211,경막외 Block(요추및천추),4110978,Local anesthetic lumbar epidural block
212,경막외신경차단술-일회성차단(경추),4120974,Local anesthetic cervical epidural block
213,경막외신경차단술-일회성차단(경추),4118957,Local anesthetic thoracic epidural block
214,경막외신경차단술-일회성차단(요추),4110978,Local anesthetic lumbar epidural block
215,경막외신경차단술-일회성차단(천추),4110978,Local anesthetic lumbar epidural block
216,경막외신경차단술-일회성차단(흉추),4120974,Local anesthetic cervical epidural block
217,경막외신경차단술-일회성차단(흉추),4118957,Local anesthetic thoracic epidural block
218,"경부림프절청소술(타수술동시,양측)",2002322,"Radical neck dissection, bilateral"
219,"경부림프절청소술(타수술동시,편측,근치적)",4302897,Radical lymph node dissection of neck region
220,"경부림프절청소술(타수술동시,편측,선택적)",4122777,Selective neck dissection of cervical lymph nodes
221,경요도적전립선절제술,4234536,Transurethral prostatectomy
222,경피적 혈액이산화탄소분압 및 산소포화도 측정〔1일?,2314047,Noninvasive ear or pulse oximetry for oxygen saturation; single determination
223,경피적담석제거술(전기수압식),4292578,Bile duct stone removal
224,경흉부 삼차원 심초음파검사(TTE 3D Echo),4306147,Diagnostic Doppler ultrasonography
225,고실내 주입술,4160183,Tympanocentesis
226,고실내시경검사,4334402,Examination of ear under microscope
227,고실내시경검사,4334402,Examination of ear under microscope
228,"고주파 열 응고법, 경부이하,Simple",44514762,Percutaneous radiofrequency ablation of lesion of bone
229,"고주파 열 응고법, 두부,Simple",44514762,Percutaneous radiofrequency ablation of lesion of bone
230,고주파열치료간초음파유도료(초회),4306147,Diagnostic Doppler ultrasonography
231,고주파열치료간초음파유도료(초회),4306147,Diagnostic Doppler ultrasonography
232,골밀도(척추)AP(건강검진센터),4086416,Dual energy X-ray photon absorptiometry
233,공황장애 인지행동 치료 ,4040976,Behavioral therapy
234,공황장애 인지행동치료(1회),4040976,Behavioral therapy
235,관상동맥 혈관내 초음파(중심순환계) TVC,4306147,Diagnostic Doppler ultrasonography
236,관상동맥우회술시 혈류량측정(재료 1개 사용),4306147,Diagnostic Doppler ultrasonography
237,관상동맥우회술시 혈류량측정(재료 2개이상 사용),4306147,Diagnostic Doppler ultrasonography
238,관절천자,2005951,Arthrocentesis
239,교감신경절 Block (요부),4142322,Sympathetic nerve or ganglion block
240,"근골격계초음파,단순(재활)",4205771,Ultrasonography of soft tissue
241,"근골격계초음파,복합(재활)",4205771,Ultrasonography of soft tissue
242,"근골격계초음파,특수(재활)",4205771,Ultrasonography of soft tissue
243,근관성형,44509877,Root canal therapy to tooth
244,근막동통유발점주사자극치료(2부위이상),4191700,Injection of trigger points
245,근전도검사-체간,2314118,Needle electromyography; 1 extremity with or without related paraspinal areas
246,기관지 내시경 초음파세침흡인술,44809038,EBUS-TBNA - Endobronchial ultrasound - transbronchial needle aspiration
247,기관지 유발검사 I,4102219,Provocative pupil block test
248,기관지내시경 초음파,4306147,Diagnostic Doppler ultrasonography
249,기관지내시경 초음파 세침흡인술,44809038,EBUS-TBNA - Endobronchial ultrasound - transbronchial needle aspiration
250,기관지유발시험-기도가역성검사,2314008,"Bronchodilation responsiveness, spirometry as in 94010, pre- and post-bronchodilator administration"
251,기관지유발시험-비특이적 조제실제제(메타콜린 원료이,4182203,Provocative test
252,기관지유발시험-비특이적(만니톨 사용),4182203,Provocative test
253,기도가역성 검사,2314008,"Bronchodilation responsiveness, spirometry as in 94010, pre- and post-bronchodilator administration"
254,기타 척도,40492724,Assessment using psychotic symptom rating scale
255,기타 혈관결찰술,4234382,Ligation of blood vessel
256,기타동맥우회술시 혈류량측정(재료 1개 사용),4306147,Diagnostic Doppler ultrasonography
257,기타부위천자(치료목적),4312604,Puncture procedure
258,기타신경인지검사,46285210,Assessment using Attentional Capacity Test
259,"낭종 배액 ,소작 1 내시경 초음파 유도료",4306147,Diagnostic Doppler ultrasonography
260,내시경적 상부 소화관 종양 수술-종양절제(검진당일),2108899,"Esophagogastroduodenoscopy, flexible, transoral; with removal of tumor(s), polyp(s), or other lesion(s) by snare technique"
261,내시경적상부소화관이 제거술-단순(검진당일),4071406,Fiberoptic endoscopic removal of foreign body from upper gastrointestinal tract
262,내시경하비용적출술(범발성),4019988,Nasal endoscopy with nasal polypectomy
263,내시경하상악동비내수술,4277906,Nasal endoscopy with maxillary antrostomy
264,내시경하상악동사골동근본수술,4186207,Excision of lesion of ethmoid sinus
265,내시경하상악동사골동근본수술,4181623,Excision of lesion of maxillary sinus
266,내시경하전부비강근본수술,4118951,Operations on nasal sinuses
267,내시경하하비갑개절제술,40492803,Endoscopic sphenoidectomy with turbinectomy
268,내시경하하비갑개점막하절제술,40492803,Endoscopic sphenoidectomy with turbinectomy
269,노인우울척도(GDS),4012809,Dementia test
270,뇌전산화단층촬영(조영제미사용),4145739,Computerized axial tomography of brain
271,뇌정위적 치료 계획(1회),4021989,Stereotactic radiosurgery
272,단기기억력검사(시각),44790514,Neuropsychology test of memory
273,대장내시경,2002703,Colonoscopy
274,대퇴신경 Block,4336456,Local anesthetic femoral nerve block
275,대퇴신경 Block *0.5,4336456,Local anesthetic femoral nerve block
276,덴버 발달 검사(DDST),4051865,Denver developmental screening test
277,덴버발달검사(Denver Development Test),4051865,Denver developmental screening test
278,도관삽입술(Catheter),4080169,Continuous ambulatory peritoneal dialysis
279,도수근력검사(전신),2314112,"Muscle testing, manual (separate procedure) with report; total evaluation of body, excluding hands"
280,도안유창성검사,4012466,"Assessment and interpretation of higher cerebral function, cognitive testing"
281,도플러동맥파형 분절압+수족지동맥검사(toe),4306147,Diagnostic Doppler ultrasonography
282,도플러모니터,4306147,Diagnostic Doppler ultrasonography
283,동맥경화도 측정,4217197,"Biofeedback, pulse wave velocity"
284,동맥경화도측정,4217197,"Biofeedback, pulse wave velocity"
285,동맥압에 기초한 심박출량 연속감시법,2313911,"Indicator dilution studies such as dye or thermodilution, including arterial and/or venous catheterization; with cardiac output measurement (separate procedure)"
286,동맥협착도검사,4306147,Diagnostic Doppler ultrasonography
287,동정맥루 검사,4306147,Diagnostic Doppler ultrasonography
288,동정맥루 수술 전 초음파,40492795,Ultrasonography of arteriovenous fistula
289,동정맥루 수술 후 초음파,40492795,Ultrasonography of arteriovenous fistula
290,동정맥루 혈류량 측정법,44792866,Blood flow rate measurement of vascular access
291,두부 신경전도검사(PM),4198105,Nerve conduction study
292,"라미나리아삽입, 1회",4030009,Therapeutic termination of pregnancy by insertion of laminaria
293,"라미나리아삽입,2회",4030009,Therapeutic termination of pregnancy by insertion of laminaria
294,레이 복합도형검사,4220962,Figure drawing test
295,레이노드+수족지동맥검사(digital),4306147,Diagnostic Doppler ultrasonography
296,레이노드+수whr지동맥검사(toe),4306147,Diagnostic Doppler ultrasonography
297,레이노드검사(Digital),4306147,Diagnostic Doppler ultrasonography
298,레이노드검사(Toe),4306147,Diagnostic Doppler ultrasonography
299,레이복합도형검사(RCFT),4220962,Figure drawing test
300,레이저 재료대-요관경하 요관절석술,4143508,Ureteroscopic removal of ureteric calculus
301,레이저이용 재료대(요관경하 요관절석술 ),4143508,Ureteroscopic removal of ureteric calculus
302,마취위한 굴곡성기관지경 삽관술,4335583,Tracheal intubation using rigid bronchoscope
303,마취중 말초산소포화도감시,2314047,Noninvasive ear or pulse oximetry for oxygen saturation; single determination
304,마취중 산소포화도감시,2314047,Noninvasive ear or pulse oximetry for oxygen saturation; single determination
305,마취중 중심정맥압감시(카테타삽입료 포함),2007088,Central venous pressure monitoring
306,마취중 중심정맥압감시(카테타삽입포함),2007088,Central venous pressure monitoring
307,마취중 침습적동맥압감시(삽입료포함),2007087,Systemic arterial pressure monitoring
308,마취중 침습적동맥압감시(카테타삽입료 포함),2007087,Systemic arterial pressure monitoring
309,말초신경초음파(Peripheral nerve sono),4323138,Ultrasound peripheral imaging
310,말초혈액조혈모세포수집(자가),2108442,"Blood-derived hematopoietic progenitor cell harvesting for transplantation, per collection; autologous"
311,무탐침정위기법(기본) 선별 50%,2103014,"Computer-assisted surgical navigational procedure for musculoskeletal procedures, image-less (List separately in addition to code for primary procedure)"
312,무탐침정위기법(기본) 선별 80%,2103014,"Computer-assisted surgical navigational procedure for musculoskeletal procedures, image-less (List separately in addition to code for primary procedure)"
313,문치공 Block *0.5,4140397,Local anesthetic nerve block
314,문치공 Block(PAN),4140397,Local anesthetic nerve block
315,뮌헨 기능 발달 검사(MFED),4100408,Child development test
316,미술 심리치료,2213548,Group psychotherapy (other than of a multiple-family group)
317,"미술치료(입원,집단,의뢰환자)",4036569,Cognitive therapy
318,"미술치료(초진,외래,개인)",4036569,Cognitive therapy
319,반복 신경자극검사(PM),4098784,Repetitive nerve stimulation
320,발달종합평가 D,4035325,Infant development screening
321,발달학습증진 부모교실 B(1시간),4036569,Cognitive therapy
322,발달학습증진 부모교실A(40분),4036569,Cognitive therapy
323,발바닥 사마귀제거술,2101928,"Paring or cutting of benign hyperkeratotic lesion (eg, corn or callus); single lesion"
324,방광경검사,4249893,Colonoscopy
325,베일리영아발달검사,4035325,Infant development screening
326,베일리영아발달측정(BSID) I,4035325,Infant development screening
327,보철물재부착(1치당),4066041,Recement inlay
328,복강신경차단 내시경초음파 유도료,4306147,Diagnostic Doppler ultrasonography
329,복막투석효율검사,4206254,Assessment of adequacy of dialysis
330,"복수천자(응급환자, 주치의시행)",42742539,Abdominal paracentesis (diagnostic or therapeutic); without imaging guidance
331,"복수천자,복막천자(주치의시행)",42742539,Abdominal paracentesis (diagnostic or therapeutic); without imaging guidance
