localcodename,concept_id,CONCEPT_NAME
ENDO GIA Tri-Stapler D.L.U 60BLACK,45765044,"Endoscopic manual linear cutting stapler, single-use"
ENDOTRACHEAL 6.0 SOFT-SEAL CUFFED TUBE,4331031,Endotracheal tube cuff
ENDOTRACHEAL 7.0 SOFT-SEAL CUFFED TUBE,4331031,Endotracheal tube cuff
ENDOTRACHEAL TUBE CUFF 4.5MM(히포),4331031,Endotracheal tube cuff
EZ RAP ELBOW KOOL M,4082907,Elbow brace
FIRE STAR PTCA DILATATION CATHETER,45768093,Coronary angioplasty balloon catheter
GRIP ENDO FIX(ACE) #1,4271310,Tubular bandage
HARMONIC SCALPEL SHEAR TYPE LCSC1,45764708,Endoscopic motorized cutting stapler
HEAD HUNTER CEREBRAL CATHTER   S5.0-38-100-H1H,45771910,"Angiographic catheter, single-use"
HEMA INTRODUCER       DIAG   8.5Fr./23,45761573,Catheter introducer
HEMOVAC 15FR. 400ML,45761279,Closed-wound drainage reservoir suction bulb
HISTOACRYL,4122789,Surgical adhesive
IKAZUCHI REV PTCA BALLOON CATH,45768093,Coronary angioplasty balloon catheter
INJECTOR FORCE NM-200L,45768128,Endotherapy needle
INQWIRE GUIDE WIRE 200CM 미만,4159813,Guide wire
K-WIRE TROCAR 1.3MM X 110MM ,45764506,"Internal orthopedic fixation system, plate/screw, non-bioabsorbable"
LACRIMAL INTUBATION   (CRAWFORD)28-0184,45772027,Lacrimal intubation set
LAGIS TROCAR 12MM Long,45763434,Laparoscopic trocar
LAUNCHER GUIDE CATHETER,45761363,Coronary artery guide catheter
LC-DCP CANCELLOUS SCREW 6.5 THREAD   16/60MM,45764506,"Internal orthopedic fixation system, plate/screw, non-bioabsorbable"
LC-DCP CANCELLOUS SCREW FULL THREAD   4.0/50MM,4239189,Bone screw
LIGASURE?LS1200,45759076,"Open-surgery electrosurgical forceps, single-use"
LINEAR STAPLER TX30B,45765046,"Open-surgery manual linear stapler, single-use"
Mediform5 35*50cm,4224205,Polyurethane foam sterile film dressing
MEPILEX LITE 15*15CM,4297038,Soft silicone wound contact dressing with polyurethane foam film backing sterile 15cm x 15cm
MICRO PLATE STRAIGHT 12H-18H,45764348,"Craniofacial fixation plate, non-bioabsorbable"
MINI BONE L-SHAPE PLATE,45764348,"Craniofacial fixation plate, non-bioabsorbable"
MINI PLATE RIGHT 18MM 20-LR-304,45764348,"Craniofacial fixation plate, non-bioabsorbable"
MITEK MINI ANCHOR W/SUTURE THREADER 210066,45759990,Surgical binding material anchor
MMS U-72603(요도카테타),45759429,Urodynamic catheter
MONOSOF 5/0 SN5668,45758903,"Nylon suture, monofilament"
MONOSYN 5/0 DSMP13,45772825,Synthetic bioabsorbable suture
MULTI PURPOSE CATH 5.0F-38-80-6S-MPA,45771910,"Angiographic catheter, single-use"
NASOPORE FORTE 4CM,45764206,Nasal mucosa dressing
NASOPORE FORTE PLUS 4CM,45764206,Nasal mucosa dressing
OCCLUSION BALLOON CATHETER   8.0-20-100,45771982,Intravascular occluding catheter
OPSITE FLEXIFIX 10CM * 10M,4224207,Non-woven fabric backed adhesive dressing
ORSIRO DRUG ELUTING CORONARY STENT,45772824,Drug-eluting coronary artery stent
PALL FILTER - RC2VAE(BEDSIDE),45763459,"Apheresis system column, selective leukocyte adsorption"
PCK EMERGENCY CRICOTHYROIDOTOMY KIT,45761552,"Cricothyrotomy kit, single-use"
PDS,45758967,Polydioxanone suture
PDS 1/0 W9236T,45758967,Polydioxanone suture
PEEL AWAY INTRODUCER ,45761573,Catheter introducer
PERFORMA CATHETER,45771910,"Angiographic catheter, single-use"
PIONEER STERNAL CABLE SYSTEM,45759435,Sternal fixation system
PLEDGET-PCP50,45764330,"Cardiovascular patch, synthetic"
POLYSORB 2/0 GL223,45758977,Polyglactin suture
Polysorb 2/0 GL-223,45758977,Polyglactin suture
PPH STAPLER(PPH03),45758119,Hemorrhoidal surgical stapler
PRIME-S CVC SET TRIPLE 7FR,4179206,Central venous catheter
PROLENE 4-0   W8935,4262269,Sterile polypropylene monofilament suture
PROLENE 4-0 W8557,4262269,Sterile polypropylene monofilament suture
PROLENE 8/0 W2777,4262269,Sterile polypropylene monofilament suture
Pronova 7/0 W7214H,45758493,Polyvinylidene fluoride suture
Pulmonary capillary wedge cath,45758028,Arterial blood pressure catheter
ROTI ENDO 45 4.8,45765044,"Endoscopic manual linear cutting stapler, single-use"
RYUJIN,45768093,Coronary angioplasty balloon catheter
"SAW,BURR-코(간단수술/애스큠케어)",4008955,Surgical saw
SCARSENSE FABRIC 13*25CM,45767862,Scar management dressing
SCREW ULTRA-MICRO-1.5MM,45773261,"Craniofacial bone screw, non-bioabsorbable"
SENSURA 2PC ILEOSTOMY BAG(투명) 40MM,4218999,Ileostomy bag
SOF-FLEX URE. DOUBLE PIGTAIL STENT 7F/28CM,4120252,Ureteric stent
SOFSILK 3/0 GS-47-M,45760330,"Silk suture, sterile"
SORBACT GEL 7.5*15,45764038,"Wound hydrogel dressing, sterile, antimicrobial"
STANDARD  COOK  WIRE   0.032(S)145,4159813,Guide wire
STANDARD FLOW DISPOSABLE SET 24200,45760468,Warming/high-flow infusion pump
SURGI BRA MEDIUM RT,2720378,"Breast prosthesis, mastectomy bra, without integrated breast prosthesis form, any size, any type"
SURGIFIX-#0~4,4224366,Elasticated net tubular stockinette
"SYNTEL VASCULAR CATHETER, REGULAR TIP (3~7Fr)",45770943,Embolectomy/thrombectomy catheter
TA PREMIUM DLU CARTILAGE 30-3.5(015427),45765046,"Open-surgery manual linear stapler, single-use"
TEFLON COATED G/W(FLEXIBLE TIP) 0.43 145CM,4159813,Guide wire
Terumo wire exchange Terumo wire e,4159813,Guide wire
THORACIC CATHETER 16FR/STR.(아시아),45759690,Thoracic drain
THORACIC CATHETER 24FR(ANGLE/히포)  ,45759690,Thoracic drain
THORACIC CATHTER (CHEST TUBE) 24FR,45759690,Thoracic drain
TIE VICRYL PLUS 4/0 6*45CM VCP1224H,45758959,"Polyglactin suture, antimicrobial"
TIT. ELASTIC NAIL,45763058,"Flexible bone nail, sterile"
TKR LOSPA PATELLAR COMPONENT(코렌텍),45768072,Patella prosthesis
TPN Double Lumen Catheter,4106977,Double lumen catheter
TROKA BONE MARROW,45761512,"Bone marrow biopsy needle, single-use"
URO FOLEY CATHETER-24FR,2614772,"Indwelling catheter, foley type, two-way, all silicone, each"
UROSOFT URE. STENT SET(INTRA-OP) 7F/26CM,4120252,Ureteric stent
VENOUS CANNULA   22FR,4124293,Venous cannula
VENTRICULAR DRAINAGE BAG   770N,45761717,"Cerebrospinal fluid drainage kit, ventricular"
VERSIVA XC(NON-ADHESIVE) 20*20CM,4219811,Hydrocolloid hydrofiber dressing
WHITE SILK 5-0   NW510,45760330,"Silk suture, sterile"
XIENCE V DRUG ELUTING STENT,45772824,Drug-eluting coronary artery stent
Yasagil A-Clip FE744,45761998,Aneurysm clip
Yasagil A-Clip FE824,45761998,Aneurysm clip
ZUMA CORONARY GUIDING CATHETER 7F-JL 3.5,45761363,Coronary artery guide catheter
가온가습용 회로 (STEPHAN),2616655,"Humidifier, heated, used with positive airway pressure device"
안와골수술용 BURR & SAW,4008955,Surgical saw
필름 X-RAY 1매   ,45772852,Dental x-ray film
흉강경 Wedge resection,4149926,Thoracoscope
BIATAIN IBU NON-ADHESIVE 5*7CM,4294157,Polyurethane foam film dressing sterile without adhesive border 5cm x 7cm rectangular
Biolox Ceramic Liner,45761205,Ceramic acetabular liner
CORTICAL SCREW   3.5/10MM,4239189,Bone screw
EBS(CX*EQL001),4129272,Cardiopulmonary bypass circuit
FEM-FLEX II FEMORAL CANNULA (ARTERY),45763117,Femoral artery/vein catheter
FILTER WIRE,45761325,Carotid artery emboli protection system
GOD'S HAND,45768120,Femoral artery compression system
MEDICLORE 5.0CC,2615775,Adhesion barrier
MULTIFIRE-P ENDO GIA CARTILAGE 60-3.5,45765044,"Endoscopic manual linear cutting stapler, single-use"
MUTARS IC-HEAD COCRMO,45758713,Metallic femoral head prosthesis
"ON-Q PAINBUSTER SILVER SOAKER 12.5cm,Dual",45764723,Pain management medication delivery system
OPSITE POST-OP VISIBLE 15*10CM,4224205,Polyurethane foam sterile film dressing
PONSKY REPLACEMENT GASTROSTOMY TUBE,4054620,Gastrostomy tube
SYMPHONY STENT,4234567,Biliary stent
TEGADERM FOAM DRESSING(ADHESIVE)14.3*14.3CM(10*10CM),4224205,Polyurethane foam sterile film dressing
THR TRILOGY ACETABULAR CUP(서광),45761793,Acetabular shell
TKR TRIATHLON TIBIAL INSERT(SK),45768073,Knee tibia/insert prosthesis
VENOUS CANNULAE RT. ANGLE   14FR,4124293,Venous cannula
메디터치친수성드레싱 10CMx20CM,45763990,"Exudate-absorbent dressing, hydrophilic-gel"
복대,4074176,Abdominal binder
쟈마트 50CC Micro Filter Needle With Syringe,45760191,"Syringe filter, clinical"
필름 파노라마필름 1매   ,45768234,Medical x-ray film
ACCUFUSER OMNIBUS 300ml,45758185,Patient-controlled analgesia infusion pump
ADVANCED VENOUS ACCESS TRIPLE LUMEN 9FR,4134408,Triple lumen catheter
ALEXIS L C8303(9-14CM),45760849,"Wound retractor, intermediate/deep"
ALLEVYN GENTLE BORDER -STANDARD 10CMX20CM(7CMX17CM,4224205,Polyurethane foam sterile film dressing
AMPHIRION DEEP BALLOON CATH S(2-5MM),4259287,Angioplasty balloon catheter
AMPLATZ(R) GUIDING CATHETER CORDIS,45761363,Coronary artery guide catheter
Angio-CATH (All),45771910,"Angiographic catheter, single-use"
ANTI Biotic Cement,4245414,Bone cement
ANTI EMBOLISM STOCKING THIGH(BAND) L(광혜),4082555,Antithromboembolic stockings
Autosuture M/F GIA75 D.L.U(Cart.) 3.8,45765046,"Open-surgery manual linear stapler, single-use"
BALLOON CATHETER 16mm,45760918,Biliary stone retrieval balloon catheter
BAND S-B,4038672,Pressure dressing
BAND SECUEX L,4219810,Hemostatic gauze product
BLACK NYLON 6/0 NK626P,45758903,"Nylon suture, monofilament"
BLACK SILK 3-0   W212,45760330,"Silk suture, sterile"
BLAZER II TEMPERATURE ABLATION CATHETER,45771459,"Cardiac mapping/radio-frequency ablation catheter, single-use"
BLOOD LINE 성인,45760623,Blood transfusion set
BURNSHIELD DRESSING-10*10,45759011,Polyurethane burn dressing
CELL SAVER SET,45768153,Blood autotransfusion system
CHROMIC 3-0   W4412,45761207,"Catgut suture, chromic"
"COBAN WRAP 2""*4.5M",2721403,"Compression bandage, roll"
CORTICAL BONE POWDER 1CC(한솔),4129084,Bone graft material
COSEAL SURGICAL SEALANT 2CC,45767990,Surgical adhesive/sealant applicator
D.K LINE,45760079,"Retinal tamponade medium, postoperative"
DALL-MILES CABLE GRIP  MEDIUM  ,45771162,"Internal orthopedic fixation system, cerclage wire/cable"
ECG ELECTRODE(ped),45762072,"Electrocardiographic electrode, single-use"
ELA BAND 2',4313938,Elastic bandage
ENDEAVOR RESOLUTE,45772824,Drug-eluting coronary artery stent
ENDO CLIP M.   176619/10mm,45758369,"Ligation clip, metallic"
ENDO CLIP(M-ER320),45758369,"Ligation clip, metallic"
ENDO GIA Tri-Stapler D.L.U 45PURPLE,45765044,"Endoscopic manual linear cutting stapler, single-use"
ENDOPATH ENDOSCOPIC LINEAR CUTTER-FLEX-EC45A,45765044,"Endoscopic manual linear cutting stapler, single-use"
ENDOTRACHEAL TUBE CUFF 2.5FR,4331031,Endotracheal tube cuff
ENDOTRACHEAL TUBE CUFF 3.5MM(히포),4331031,Endotracheal tube cuff
ENDOTRACHEAL TUBE CUFF 7.0,4331031,Endotracheal tube cuff
EPIDURAL FILTER SET   18G,4148006,Epidural catheter
ERBD BILIARY STENT   12Fr.-70mm,4234567,Biliary stent
ETHIBOND 2/0 W6977,4105230,Polyester suture
FOLEY CATHETER SILICONE 3-WAY   18FR,45764905,Pin-sleeve orthopedic bone screw
GORE-TEX SUTURW CV-7 7M02A,45758786,Polytetrafluoroethylene suture
GORE-TEX(RING)6MM*70CM RRT06030070L,2720468,"Vascular graft material, synthetic, implant"
GORE-TEX(RING)8MM*70CM RRT08030070L,2720468,"Vascular graft material, synthetic, implant"
HARMONIC SCALPEL SHEAR TYPE FCS9(OPEN용),45764708,Endoscopic motorized cutting stapler
HEAD HUNTER CEREBRAL CATHTER   BPS6.5-38-100-H1H,45771910,"Angiographic catheter, single-use"
HEMA INTRODUCER       DIAG   10.5Fr./30,45761573,Catheter introducer
INFU-GREEN(3way외 일체형-290cm),2616935,Regulator
Komet Burr(Diamond) 0.6~1.0mm,4008955,Surgical saw
LACROSSE CORONARY DILATATION CATH,45768093,Coronary angioplasty balloon catheter
LARYSEAL FLEXI 038-94-540,4106029,Laryngeal mask
LC-DCP CANCELLOUS SCREW FULL THREAD   4.0/28MM,4239189,Bone screw
LITHOTRIPSY BASKET 03-11-34-04(TWI/4B-2.3-40),4290438,Stone retrieval basket
MEDPOR BARRIER CHANNEL SHEET,45761346,Cranioplasty sheet
MICRO SCREW 1.5MM*3MM(204-1503),45773261,"Craniofacial bone screw, non-bioabsorbable"
MICRO TRIANGULAR PLATE   01-7132                       ,45764348,"Craniofacial fixation plate, non-bioabsorbable"
MINI PLATE DBL-Y LONG   01-9462                       ,45764348,"Craniofacial fixation plate, non-bioabsorbable"
MONOSYN 6/0 DSMP11,45772825,Synthetic bioabsorbable suture
MULTI DRAINAGE CATHETER   ULT10.2-38-MSL,2615756,"Catheter, drainage"
MULTIFIX EF,4271310,Tubular bandage
NEW YOGIPS SHORT ARM HSA-420(N) ,4042168,Short arm splint
NITI-S COLORECTAL STENT,45764339,Bare-metal colonic stent
NYLON 3-0 B334,45758903,"Nylon suture, monofilament"
ONE-THIOL TUBULAR PLATE(TITANIUM)3.5/8H,4106145,Third tubular plate
PAPER COLOR PRINTER UPP5010A   ,45762259,Endoscopic video imaging system
PARTIALLY THREADED CANNULA 7*7 AR6567,45764775,Arthroscopic access cannula kit
PARTIALLY THREADED CANNULA 8.25*7 AR6566,45764775,Arthroscopic access cannula kit
PDS 1 W9234T,45758967,Polydioxanone suture
PEEK CAGE(O.I.C),4106975,Spinal cage
PEEL AWAY INTRODUCER SHEATH,45761573,Catheter introducer
PERCUFLEX PLUS STENT 7FR/22CM,4120252,Ureteric stent
PERITONEAL CATHETER(STANDARD) 43103,4150035,Peritoneal catheter
PRESEP CENTRAL VENOUS OXIMETRY CATHETER,4179206,Central venous catheter
PROLENE 5-0 W8710,4262269,Sterile polypropylene monofilament suture
"SAW,BURR-귀수술",4008955,Surgical saw
SENSURA 2PC BASE PLATE CONVEX 60/15-43MM,4224190,Stoma flange
SHEPPERD HOOK VISCERAL CATHETER,45771910,"Angiographic catheter, single-use"
SORBACT SURGICAL DRESSING 8*10cm,45772557,"Wound-nonadherent dressing, absorbent, antimicrobial"
SPRINTER PTCA BALLOON CATHETER,45768093,Coronary angioplasty balloon catheter
SSOFSILK 5/0-S182,45760330,"Silk suture, sterile"
STEERABLE ELECTROPHYSIOLOGY CATHETER,45761958,"Electrophysiology cardiac catheter, single-use"
Stocking (허벅지형-독일밴드),2614875,"Surgical stockings thigh length, each"
Surg Bra (좌) Small,2720378,"Breast prosthesis, mastectomy bra, without integrated breast prosthesis form, any size, any type"
Surgifit 4/0 AV428,45758561,Polyglycolic acid suture
SWANGANZ CATHETER   7FR,4197924,"Swan-Ganz catheter, device"
Swwanneck Catheter Coil,40487896,Tenckhoff catheter
SYVEK NT,4219052,Hemostat
TEFLON COATED MOVABLE T-J TIP G/W 038,4159813,Guide wire
TEMPORARY PACING LEAD 2.5CM SPACING VENT 5FR(401686),45764319,Temporary cardiac pacing catheter
THORACIC CATHETER 16FR.STR(히포),45759690,Thoracic drain
TITANIUM MINI BONE DOUBLE Y-SHAPE PLATE,45764348,"Craniofacial fixation plate, non-bioabsorbable"
TITANIUM PORT & GROSHONG CATHETER,4134858,Implantable venous access port
"TOP-BOUND LAP-BAG 5""X7""",45759711,Tissue extraction bag
TRIPOL(Powerblade),37397099,"Endoscopic electrosurgical electrode, bipolar, single-use"
URODYNAMIC CATHETER DLUPP-7D,45759429,Urodynamic catheter
UROSOFT URETERAL STENT(CYSTOSCOPE) 6F/28CM ,4120252,Ureteric stent
V-LOC 90 3/0 ENDO ABSORBABLE SUTURE VLOCM0604,4085090,Absorbable ligature
VOYAGER,45768093,Coronary angioplasty balloon catheter
VOYAGER PTCA BALLOON,45768093,Coronary angioplasty balloon catheter
VTC NEPHROSTOMY CATHETER   8.0-38-25-PIG,2615756,"Catheter, drainage"
WHITE SILK 5-0   NW610,45760330,"Silk suture, sterile"
XCEL BLADLESS TROCAR B11LTH,45763434,Laparoscopic trocar
Y-CONNECT(HEMOSTATIC VALVE),4121560,Y connector
Y-CONNECTER WITH LUER   1/2x3/8x3/,4121560,Y connector
Y-CONNECTOR 3/13X3/16X1/4(W/L),4121560,Y connector
ZEBRA GUIDE WIRE,45763355,Gastrointestinal guidewire
ART BALLOON(AMG),45768093,Coronary angioplasty balloon catheter
BILIARY WALL SENT,4106157,Metal stent
BONGENER 2.5CC,37018129,"Bone matrix implant, human derived"
DLP VENOUS CANNULA 36FR,4124293,Venous cannula
KYPHX INFLATABLE BONE TAMP,45763441,Inflatable bone tamp
Osteolock Screw all size,45763203,Hip internal fixation system
PHYSIOTULLE WOUND CONTACT LAYER 10*10CM,4222039,Hydrocolloid dressing
POWERFLEX P3 PTA BALLOON DILATATION CATHETER MIDDL,45758378,Peripheral angioplasty balloon catheter
TAPERGUARD ENDOTRACHEAL TUBE 8.5,4097216,Endotracheal tube
THR BIOLOX DELTA HEAD(메디케어),45761725,Ceramic femoral head prosthesis
THR MUTARS IC-BIPOLAR HEAD COCRMO(코렌텍),45763037,Femoral head bipolar component
UNIVENT TUBE,4327418,Endotracheal tube with bronchial blocker
VENOUS CANNULAE RT. ANGLE   16FR,4124293,Venous cannula
고관절치환용 무시멘트형 Stem(엔도텍),45768061,Femoral stem prosthesis
"관절경 재료대(고관절,슬관절,견관절)",45767958,Arthroscopic surgical procedure kit
복강경 GB-LAPA CHOLE(이정남),45767955,Laparoscopic surgical procedure kit
ACCUFUSER PLUS P2015L,45758185,Patient-controlled analgesia infusion pump
ACE CANNULATED CANCELLOUS SCREW   6.5/85MM,45764905,Pin-sleeve orthopedic bone screw
ALEXIS HALS MEDIUM,45760849,"Wound retractor, intermediate/deep"
ALTERNA FREE WITH HIDE-AWAY OUTLET ONE-PIECE,4225137,Colostomy bag
ANGIOGRAPHY BALLOON   4FR,45771910,"Angiographic catheter, single-use"
ANTI EMBOLISM STOCKING THIGH(BAND) S(광혜),4082555,Antithromboembolic stockings
APIS 3.5MM SELF-TAPPING SCREW,4239189,Bone screw
ARROW CVP (2-LUMEN) 7FR,4179206,Central venous catheter
Auto Suture TA30 Stapler 4.8,45765046,"Open-surgery manual linear stapler, single-use"
AUTOSUTURE GIA DLU80-3.8 catridge,45765046,"Open-surgery manual linear stapler, single-use"
Balkin sheath(40cm),45761573,Catheter introducer
BAROVAC 100ML SS100JP,45761279,Closed-wound drainage reservoir suction bulb
BIO INTERFERENCE SCREW,4239189,Bone screw
BLACK SILK 2-0   W203,45760330,"Silk suture, sterile"
BLACK SILK 3-0   W570,45760330,"Silk suture, sterile"
BONASTENT FOR BILIARY,45764662,Bare-metal biliary stent
CGDBM ALLOMIX PUTTY,37018128,Bone matrix implant
COMPRESSION SURGI BRA(레나) S,2720378,"Breast prosthesis, mastectomy bra, without integrated breast prosthesis form, any size, any type"
COMPRESSION SURGICAL BRA XL,2720378,"Breast prosthesis, mastectomy bra, without integrated breast prosthesis form, any size, any type"
COROFLEX BLUE CORONARY STENT,45759034,Bare-metal coronary artery stent
CORTICAL SCREW   4.5/58MM,4239189,Bone screw
CROMIC 1-0 C11501,45761207,"Catgut suture, chromic"
"DISPOSABLE BIOPSY FORCEPS-GASTRO/2.3MM, 160CM",45768037,Endotherapy biopsy forceps
DRY-DOC CANNULA 8*85MM C7480,45764775,Arthroscopic access cannula kit
EGIA ROTI.45 MED THICK SULU,45765044,"Endoscopic manual linear cutting stapler, single-use"
"ELASTIC BANDAGE (6"")",4313938,Elastic bandage
ELECTRODE CATH BIPOLAR 6F(diag,45764319,Temporary cardiac pacing catheter
ENDOTRACHEAL 6.5 SOFT-SEAL CUFFED TUBE,4331031,Endotracheal tube cuff
ENDOTRACHEAL TUBE CUFF 8.5MM(에이스),4331031,Endotracheal tube cuff
ENDOTRACHEAL TUBE RAE. ORAL CUFFED PREFORMED 5.5,4148969,Oral RAE endotracheal tube
ENDOTRACHEAL TUBE#4,4331031,Endotracheal tube cuff
ETHIBOND 3-0 6936,4105230,Polyester suture
ETS & ETS-FLEX RELOAD CARTRIDGE-ZR45G,45765044,"Endoscopic manual linear cutting stapler, single-use"
FCR 780H FILM   10X14',45768234,Medical x-ray film
FIXING ROLL 20*10M,4229928,Surgical adhesive tape
FOLEY CATHETER SILICONE 2-WAY   12FR,2614772,"Indwelling catheter, foley type, two-way, all silicone, each"
FOLEY CATHETER SILICONE 3-WAY   16FR,45764905,Pin-sleeve orthopedic bone screw
GENESYS CROSSFT SUTURE ANCHOR,45759990,Surgical binding material anchor
GENICON TROCAR 5MM,45763434,Laparoscopic trocar
GIA DST 60-4.8(BODY),45765046,"Open-surgery manual linear stapler, single-use"
GIA STAPLER   60-3.8,45765046,"Open-surgery manual linear stapler, single-use"
GLOBAL SPINE SCREW SET(WITH LOCKING DEVICE),45761303,Bone-screw internal spinal fixation system
HEATED CIRCUIT DISP.EVAQUQ(NEONATAL) RT236,45767464,"Respiratory gas heating wire, infant"
HEMA INTRODUCER DIAG  10Fr이상,45761573,Catheter introducer
HOYA AF-1(UY) YA60BB,4208975,Intraocular lens implant
INFUSION CATHETER TRACKER-18   3.0/2.7-150/18,45762739,Intravascular microflow catheter
INTERNAL MAMMARY CORDIS   6Fr.,45771910,"Angiographic catheter, single-use"
J-BALLOON CATHETER,45768093,Coronary angioplasty balloon catheter
KALTOSTAT 7.5X12,4222037,Calcium alginate dressing
KOKEN DOUBLE TUBE   11MM,4044008,Tracheostomy tube
Komet Burr(Cutting) 5mm,4008955,Surgical saw
Lap Bag,45759711,Tissue extraction bag
LC-DCP CANCELLOUS SCREW SHORT THREAD   4.0/28MM,4239189,Bone screw
LC-DCP CORTEX SCREW TIT.   4.5/46MM,4239189,Bone screw
MAXON 6267-61 1/0,45759086,Polyglyconate suture
MEDPOR ENOPHTHALMOS WEDGE,45761346,Cranioplasty sheet
MEDPORE ORBITAL PRODUCTS #9542,45761346,Cranioplasty sheet
Mersilk 4/0 W211,45760330,"Silk suture, sterile"
MIC-KEY Gastrostomy Feeding Tube,45763425,Gastrostomy tube
MICRO SCREW 1.2*6MM 12-MC-006,45773261,"Craniofacial bone screw, non-bioabsorbable"
micro screw 12mm(204-1212),45773261,"Craniofacial bone screw, non-bioabsorbable"
MICRO ST-PLATE 4H REG   01-7040,45764348,"Craniofacial fixation plate, non-bioabsorbable"
MINI SCREW 15/2.0MM DIA   01-9485                       ,45773261,"Craniofacial bone screw, non-bioabsorbable"
MINI SCREW 2.0MM,45773261,"Craniofacial bone screw, non-bioabsorbable"
MONOFUSION 50/125cm,45760407,"Backflow valve, in-line, single-use"
MULTICEL(NASAL PACKING) 500508,4041621,Packing material
NEPHROSTOMY BALLOON CATHETER   X-18FR,45773438,Nephrostomy catheter
NEW YOGIPS-LONG LEG/HLL-700(N),4332647,Long leg splint
PCN drainage catheter,45773438,Nephrostomy catheter
PDS-5/0 W9201H,45758967,Polydioxanone suture
PEEL AWAY INTRODUCER(ST.JUDE),45761573,Catheter introducer
PERCUFLEX PLUS STENT 6FR/22CM,4120252,Ureteric stent
PESSARY RING-S   #4,45764229,Uterus-supporting pessary
POLYPROPYLENE 10-0 3076-1,45758903,"Nylon suture, monofilament"
POLYSORB 4/0 GL181,45758977,Polyglactin suture
Polysorb 4/0 GL-181,45758977,Polyglactin suture
POWERED ECHELON STAPLER-FLEX PSE60A(BODY),45767977,Endoscopic stapler
POWERED ECHELON STAPLER-FLEX(COMPACT) PCE45A,45767977,Endoscopic stapler
PRISMA ST100 SET(CVVH 전용),45757971,Hemofilter
PROTECTIVE FILM WIPE(CONVEEN PREP),4271428,Ostomy skin protectives
PROTEGE RX CAROTID STENT,4185151,Carotid stent
Proximate TRT10,45765043,"Open-surgery manual linear cutting stapler, single-use"
Safil 2/0 C1048095,45758561,Polyglycolic acid suture
SHEPPERD HOOK VISCERAL CATHETER   HNB5.0-38-70-PW-NS-SHK 1.0,45771910,"Angiographic catheter, single-use"
SILICONE OIL(ARCIOLANE 1300/5500) 10CC,4033734,Silicone oil
SMART CONTROL STENT,4232657,Vascular stent
SORBACT SURGICAL DRESSING 10*30(5*25),45772557,"Wound-nonadherent dressing, absorbent, antimicrobial"
STERI STRIP ELASTIC SKIN CLOSURE 4547(12*100MM),45759807,Skin-closure adhesive strip
STR.-CONNECTOR 1/4X1/4(W/L),45764266,Low-pressure tubing connector
SURGI BRA(양쪽형) S-b,2720378,"Breast prosthesis, mastectomy bra, without integrated breast prosthesis form, any size, any type"
SURGITRACTOR LARGE,45764864,Externally-anchored laparoscopic retractor
Swan-Ganz CCOmbo SV02 Catheter,4262295,Pulmonary artery catheter
TAPERED-SHAFT PUNCTUM PLUG 5MM(SUPER-FLEX),45763309,Lacrimal punctum plug
TAPERED-SHAFT PUNCTUM PLUG 6MM(SUPER-FLEX),45763309,Lacrimal punctum plug
