row,specimenname,concept_id,concept_name
130,"NK Vue (단일검체, TUBE=)",4001225,Blood specimen
131,"Nose dischage (단일검체, TUBE=)",40491357,Specimen from nose
132,Open pus,4000617,Pus specimen
133,"Open Pus (단일검체, TUBE=)",4000617,Pus specimen
134,"Oral swish (단일검체, TUBE=)",4168673,Oral swab
135,"other (단일검체, TUBE=)",4048506,Specimen
136,Pancreas cyst fluid,46270285,Pancreas cyst fluid sample
137,"Pancreatic Juice (단일검체, TUBE=)",4002880,Pancreatic fluid specimen
138,"Parietal pleural (단일검체, TUBE=)",4133739,Specimen from pleura
139,Patient (Laboratory),4001345,Specimen from patient
140,"PB (단일검체, TUBE=)",4047495,Peripheral blood specimen
141,"PB(EDTA) (단일검체, TUBE=)",40482922,Blood specimen with EDTA
142,"PBSC (단일검체, TUBE=)",4047495,Peripheral blood specimen
143,"PBSC2 (단일검체, TUBE=)",4047495,Peripheral blood specimen
144,"PC120 BL (단일검체, TUBE=)",4001225,Blood specimen
145,"PC180 BL (단일검체, TUBE=)",4001225,Blood specimen
146,"PC240 BL (단일검체, TUBE=)",4001225,Blood specimen
147,"PC30 BL (단일검체, TUBE=)",4001225,Blood specimen
148,"PC300 BL (단일검체, TUBE=)",4001225,Blood specimen
149,"PC60 BL (단일검체, TUBE=)",4001225,Blood specimen
150,"PC90 BL (단일검체, TUBE=)",4001225,Blood specimen
151,"Penis (단일검체, TUBE=)",4002896,Specimen from penis
152,"Perianal cyst (단일검체, TUBE=)",4119518,Perianal swab
153,Pericadial fluid,4048848,Pericardial fluid specimen
154,"Pericardial fluid (단일검체, TUBE=)",4048848,Pericardial fluid specimen
155,"Peritoneal Dialysis (단일검체, TUBE=)",4056121,Peritoneal dialysate sample
156,"Peritoneal Fluid  (단일검체, TUBE=)",4043942,Peritoneal fluid sample
157,Peritosol,4000624,Dialysis fluid specimen
158,"Placenta suction (단일검체, TUBE=)",4001192,Specimen from placenta
159,Pleural fluid,4302933,Pleural fluid specimen
160,"Pleural fluid (단일검체, TUBE=)",4302933,Pleural fluid specimen
161,Pleural fluid(EDTA),4302933,Pleural fluid specimen
162,PSA(RT_PCR) sample,4001225,Blood specimen
163,"ptbd (단일검체, TUBE=)",40491361,Bile specimen obtained by percutaneous transhepatic insertion of biliary drain
164,"pus (단일검체, TUBE=)",4000617,Pus specimen
165,"R.URINE (그룹검체, TUBE=)",4046280,Urine specimen
166,"R.URINE (단일검체, TUBE=)",4046280,Urine specimen
167,"R.Urine (단일검체, TUBE=Urine Tube)",4046280,Urine specimen
168,"Rectal swab (단일검체, TUBE=)",4124280,Rectal swab
169,"Saliva (단일검체, TUBE=)",4001062,Saliva specimen
170,"Scotch Tape (단일검체, TUBE=)",4121357,Scotch tape slide
171,Semen,44808818,Semen specimen
172,"Semen (단일검체, TUBE=)",44808818,Semen specimen
173,Serum,4001181,Serum specimen
174,"Serum (단일검체, TUBE=SST Tube)",4001225,Blood specimen
175,"Serum (단일검체, TUBE=SST)",4001181,Serum specimen
176,Serum + Random Urine(SI용),4001181,Serum specimen
177,Serum + Random Urine(SI용),4046280,Urine specimen
178,"Serum 1 (단일검체, TUBE=SST)",4001225,Blood specimen
179,Serum(120min),4001181,Serum specimen
180,Serum(150min),4001181,Serum specimen
181,Serum(180min),4001181,Serum specimen
182,Serum(30min),4001181,Serum specimen
183,Serum(60min),4001181,Serum specimen
184,Serum(90min),4001181,Serum specimen
185,Serum(Blood Bank용 Tube),4001181,Serum specimen
186,"Serum(HCV, HBV PCR전용)",4001181,Serum specimen
187,Serum(Osteocalcin용),4001181,Serum specimen
188,Serum+24hr Toluidin Urine(Ccr),4001181,Serum specimen
189,Serum+24hr Toluidin Urine(Ccr),4174445,24 hour urine sample
190,Serum+CSF,4001181,Serum specimen
191,Serum+CSF,4124259,Cerebrospinal fluid sample
192,Serum+Stool(24H),4001181,Serum specimen
193,Serum+Stool(24H),4002879,Stool specimen
194,"Sinus (단일검체, TUBE=)",4332520,Specimen from nasal sinus
195,"Skin (단일검체, TUBE=)",4001354,Tissue specimen from skin
196,"Sodium Citrate (단일검체, TUBE=)",4001225,Blood specimen
197,"Sodium Citrate 2 (그룹검체, TUBE=)",4001225,Blood specimen
198,"Sodium Fluoride (단일검체, TUBE=)",40479555,Blood specimen with anticoagulant
199,"Solid Tissue (단일검체, TUBE=)",4002890,Tissue specimen
200,"SPC EDTA (단일검체, TUBE=SPC EDTA Tube)",40482922,Blood specimen with EDTA
201,"SPC Serum (단일검체, TUBE=SPC Serum Tube)",4001225,Blood specimen
202,Sputum,4002876,Sputum specimen
203,"Sputum (단일검체, TUBE=)",4002876,Sputum specimen
204,"Stoma site (단일검체, TUBE=)",43021099,Swab from surgical wound
205,"Stone (단일검체, TUBE=)",4001065,Calculus specimen
206,Stool,4002879,Stool specimen
207,Stool (Rota virus용),4002879,Stool specimen
208,"Stool (단일검체, TUBE=)",4002879,Stool specimen
209,"Synovial Fluid (단일검체, TUBE=)",4002875,Synovial fluid specimen
210,"Thorax Fluid (단일검체, TUBE=)",4048964,Specimen from pleura obtained by thoracentesis
211,Throat Swab,4119519,Throat swab
212,"Throat swab (단일검체, TUBE=)",4119519,Throat swab
213,"Tissue (단일검체, TUBE=)",4002890,Tissue specimen
214,Tracheal aspirate,40483760,Specimen from trachea obtained by aspiration
215,"Tracheostomy site (단일검체, TUBE=)",43021086,Swab from tracheostomy wound
216,"Umbilical cord (단일검체, TUBE=)",40483330,Swab of umbilicus
217,Urethral discharge,4001188,Specimen from urethra
218,"Urethral swab (단일검체, TUBE=)",4120346,Urethral swab
219,Urine (12hr),4257649,Timed urine specimen
220,Urine (24hr),4174445,24 hour urine sample
221,Urine (Random),4046280,Urine specimen
222,"Urine (단일검체, TUBE=Culture Cup)",4046280,Urine specimen
223,Urine (아침첫뇨-DPD용),4119531,Early morning urine sample
224,"Vaginal Swab (단일검체, TUBE=)",4124277,Vaginal swab
225,Vomitus,4045760,Vomitus specimen
226,"VRE (단일검체, TUBE=)",4124280,Rectal swab
227,"Water (단일검체, TUBE=)",4001352,Water specimen
228,"WB Aldo (그룹검체, TUBE=)",4001225,Blood specimen
229,"WB Erect (단일검체, TUBE=)",4001225,Blood specimen
230,"WB RED (단일검체, TUBE=PLAIN )",4000622,Erythrocyte specimen
231,"WB RED 2 (그룹검체, TUBE=PLAIN )",4001225,Blood specimen
232,"WB Supine (단일검체, TUBE=)",4001225,Blood specimen
233,WB(EDTA),40482922,Blood specimen with EDTA
234,WB(Heparin),44808076,Whole blood specimen with heparin
235,WB(Heparin)+Serum(Ham`s용),44808076,Whole blood specimen with heparin
236,"WB.CSF (그룹검체, TUBE=)",4001225,Blood specimen
237,"WB.CSF (그룹검체, TUBE=)",4124259,Cerebrospinal fluid sample
238,"WB1 RED (단일검체, TUBE=PLAIN )",4001225,Blood specimen
239,Whole blood (ABGA용),4047496,Arterial blood specimen
240,Whole blood (ACD),4122283,Whole blood sample
241,"Whole blood 2 (단일검체, TUBE=)",4122283,Whole blood sample
242,"wound (단일검체, TUBE=)",4002221,Specimen from wound
243,"Wound drain (단일검체, TUBE=)",40486922,Drainage fluid specimen obtained after surgical placement of drain
244,"수혈혈액 (단일검체, TUBE=PLAIN )",4045668,Blood specimen from blood product
245,"연속검사(3회) (그룹검체, TUBE=SST Tube)",4001225,Blood specimen
246,"연속검사(4회) (그룹검체, TUBE=SST Tube)",4001225,Blood specimen
247,"전용용기 (단일검체, TUBE=)",4000614,Tube specimen
248,"제대혈 (단일검체, TUBE=)",4046835,Cord blood specimen
249,"환부Swab (단일검체, TUBE=)",4120347,Wound swab
