row,diagname,concept_id,concept_name
51,Other specified bacterial foodborne intoxications,441500,Bacterial food poisoning
52,"Other bacterial foodborne intoxications,not elsewhere clasififed",434854,Food poisoning
53,Botulism,443444,Foodborne botulism
54,Foodborne clostridium perfringens [clostridium welchii] intoxication,196324,Food poisoning due to Clostridium perfringens
55,Foodborne vibrio parahaemolyticus intoxication,438670,Food poisoning due to Vibrio parahemolyticus
56,"Bacterial foodborne intoxication, unspecified",434854,Food poisoning
57,Amoebiasis,438959,Amebic infection
58,Acute amebic dysentery,4085622,Acute amebic dysentery
59,Intestinal amebiasis NOS,4085622,Acute amebic dysentery
60,Amebic non-dysenteric colitis,76022,Amebic nondysenteric colitis
61,Amoeboma of intestine,438959,Amebic infection
62,Amebic liver abscess,194560,Amebic liver abscess
63,Amebic lung abscess,256023,Amebic lung abscess
64,Amebic brain abscess,373684,Amebic brain abscess
65,Amebic abscess of brain (and liver) (and lung),373684,Amebic brain abscess
66,Amebic infection of other sites,438959,Amebic infection
67,Amebic appendicitis,438959,Amebic infection
68,"Amebiasis, unspecified",438959,Amebic infection
69,Acute amoebic dysentery,4085622,Acute amebic dysentery
70,Chronic intestinal amoebiasis,4085623,Chronic intestinal amebiasis
71,Amoebic nondysenteric colitis,76022,Amebic nondysenteric colitis
72,Amoebic liver abscess,194560,Amebic liver abscess
73,Amoebic lung abscess,256023,Amebic lung abscess
74,Amoebic brain abscess,373684,Amebic brain abscess
75,Amoebic infection of other sites,438959,Amebic infection
76,"Amoebiasis, unspecified",438959,Amebic infection
77,Other protozoal intestinal diseases,196325,Protozoal intestinal disease
78,Balantidiasis,197206,Balantidiasis
79,Giardiasis[lambliasis],437202,Giardiasis
80,Cryptosporidiosis,194265,Cryptosporidiosis
81,"Protozoal intestinal disease, unspecified",196325,Protozoal intestinal disease
82,Protozoal colitis,196325,Protozoal intestinal disease
83,Giardiasis [lambliasis],437202,Giardiasis
84,Viral and other specified intestinal infections,198678,Intestinal infectious disease
85,Rotaviral enteritis,199718,Enteritis due to rotavirus
86,Acute gastroenteropathy due to norwalk agent,196895,Viral gastroenteritis due to Norwalk-like agents
87,Adenoviral enteritis,193120,Adenoviral enteritis
88,Other viral enteritis,196620,Viral enteritis
89,"Viral intestinal infection, unspecified",198678,Intestinal infectious disease
90,Viral gastroenteritis NOS,198678,Intestinal infectious disease
91,Viral gastroenteropathy NOS,198678,Intestinal infectious disease
92,Viral Enteritis NOS,198678,Intestinal infectious disease
93,Other specified intestinal infections,198678,Intestinal infectious disease
94,Other gastroenteritis and colitis of infectious and unspecified origin,198062,"Infectious colitis, enteritis and gastroenteritis"
95,Septic colitis,198062,"Infectious colitis, enteritis and gastroenteritis"
96,Infectious or septic hemorrhagic Colitis NOS,198062,"Infectious colitis, enteritis and gastroenteritis"
97,Infectious or septic hemorrhagic gastroenteritis NOS,198062,"Infectious colitis, enteritis and gastroenteritis"
98,Infectious or septic hemorrhagic enteritis NOS,198062,"Infectious colitis, enteritis and gastroenteritis"
99,Acute bloody diarrhoea,198062,"Infectious colitis, enteritis and gastroenteritis"
100,Acute hemorrhagic diarrhoea,198062,"Infectious colitis, enteritis and gastroenteritis"
101,Acute watery diarrhoea,198062,"Infectious colitis, enteritis and gastroenteritis"
102,Dysenteric diarrhoea,198062,"Infectious colitis, enteritis and gastroenteritis"
103,Epidemic diarrhoea,198062,"Infectious colitis, enteritis and gastroenteritis"
104,Infectious diarrhoea NOS,198062,"Infectious colitis, enteritis and gastroenteritis"
105,"Infectious colitis, enteritis and gastroenteritis",198062,"Infectious colitis, enteritis and gastroenteritis"
106,Other gastroenteritis and colitis of infectious and unspecified origin,4043371,Inflammatory disorder of digestive tract
107,Enteritis NOS,4043371,Inflammatory disorder of digestive tract
108,Diarrhoea NOS,4043371,Inflammatory disorder of digestive tract
109,Inflammatory disorder of digestive tract,4043371,Inflammatory disorder of digestive tract
110,Other and unspecified gastroenteritis and colitis of infectious origin,198062,"Infectious colitis, enteritis and gastroenteritis"
111,Gastroenteritis and colitis of unspecified origin,4043371,Inflammatory disorder of digestive tract
112,Acute gastroenteritis,4043371,Inflammatory disorder of digestive tract
113,"Respiratory tuberculosis, bacteriologically and histologically confirmed",253954,Pulmonary tuberculosis
114,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture",255454,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture"
115,"Tuberculosis of lung, with cavitation, confirmed by sputum microscopy with or without culture",255454,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture"
116,"Tuberculous bronchiectasis, with cavitation, confirmed by sputum microscopy with or without culture",255454,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture"
117,"Tuberculous pneumonia, with cavitation, confirmed by sputum microscopy with or without culture",255454,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture"
118,"Tuberculosis of lung, without cavitation or unspecified, confirmed by sputum microscopy with or without culture",255454,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture"
119,"Tuberculous bronchiectasis, without cavitation or unspecified, confirmed by sputum microscopy with or without culture",255454,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture"
120,"Tuberculous pneumonia, without cavitation or unspecified, confirmed by sputum microscopy with or without culture",255454,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture"
121,"Tuberculosis of lung, confirmed by culture only",253121,"Tuberculosis of lung, confirmed by culture only"
122,"Tuberculous bronchiectasis, confirmed by culture only",253121,"Tuberculosis of lung, confirmed by culture only"
123,"Tuberculous fibrosis, confirmed by culture only",253121,"Tuberculosis of lung, confirmed by culture only"
124,"Tuberculous pneumonia, confirmed by culture only",253121,"Tuberculosis of lung, confirmed by culture only"
125,"Tuberculosis of lung, confirmed histologically",256018,"Tuberculosis of lung, confirmed histologically"
126,"Tuberculosis of lung, with cavitation, confirmed histologically",256018,"Tuberculosis of lung, confirmed histologically"
127,"Tuberculosis of lung, without cavitation or unspecified, confirmed histologically",256018,"Tuberculosis of lung, confirmed histologically"
128,"Tuberculous pneumonia, without cavitation or unspecified, confirmed histologically",256018,"Tuberculosis of lung, confirmed histologically"
129,"Tuberculous pneumothorax, without cavitation or unspecified, confirmed histologically",256018,"Tuberculosis of lung, confirmed histologically"
130,"Tuberculosis of lung, confirmed by unspecified means",253954,Pulmonary tuberculosis
131,"Tuberculosis of lung, with cavitation, confirmed by unspecified means",253954,Pulmonary tuberculosis
132,"Tuberculous pneumonia, with cavitation, confirmed by unspecified means",253954,Pulmonary tuberculosis
133,"Tuberculosis of lung, without cavitation or unspecified, confirmed by unspecified means",253954,Pulmonary tuberculosis
134,"Tuberculous pneumonia, without cavitation or unspecified, confirmed by unspecified means",253954,Pulmonary tuberculosis
135,"Tuberculous pneumothorax, confirmed by unspecified means",253954,Pulmonary tuberculosis
136,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically",4091164,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically"
137,"Tuberculosis of lymph nodes, Hilar, confirmed bacteriologically and histologically",4091164,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically"
138,"Tuberculosis of lymph nodes, Mediastinal, confirmed bacteriologically and histologically",4091164,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically"
139,"Tuberculosis of lymph nodes, Tracheobronchial confirmed bacteriologically and histologically",4091164,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically"
140,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically",4088075,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically"
141,"Tuberculosis of bronchus, confirmed bacteriologically and histologically",4088075,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically"
142,"Tuberculosis of glottis, confirmed bacteriologically and histologically",4088075,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically"
143,"Tuberculosis of larynx, confirmed bacteriologically and histologically",4088075,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically"
144,"Tuberculosis of trachea, confirmed bacteriologically and histologically",4088075,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically"
145,"Tuberculous pleurisy, confirmed bacteriologically and histologically",4090539,"Tuberculous pleurisy, confirmed bacteriologically and histologically"
146,"Tuberculosis of pleura, confirmed bacteriologically and histologically",4090539,"Tuberculous pleurisy, confirmed bacteriologically and histologically"
147,"Tuberculous empyema, confirmed bacteriologically and histologically",4090539,"Tuberculous pleurisy, confirmed bacteriologically and histologically"
148,"Primary respiratory tuberculosis, confirmed bacteriologically and histologically",4091166,"Primary respiratory tuberculosis, confirmed bacteriologically and histologically"
149,"Other respiratory tuberculosis, confirmed bacteriologically and histologically",253954,Pulmonary tuberculosis
150,"Respiratory tuberculosis unspecified, with cavitation, confirmed bacteriologically and histologically with cavitation",253954,Pulmonary tuberculosis
151,"Respiratory tuberculosis unspecified, without cavitation or unspecified, confirmed bacteriologically and histologically",253954,Pulmonary tuberculosis
152,"Tuberculosis of lung with cavitation, confirmed by sputum microscopy with or without culture",255454,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture"
153,"Tuberculosis of lung without cavitation or unspecified, confirmed by sputum microscopy with or without culture",255454,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture"
154,"Tuberculosis of lung with cavitation, confirmed histologically",256018,"Tuberculosis of lung, confirmed histologically"
155,"Tuberculosis of lung without cavitation or unspecified, confirmed histologically",256018,"Tuberculosis of lung, confirmed histologically"
156,"Tuberculosis of lung with cavitation, confirmed by unspecified means",253954,Pulmonary tuberculosis
157,"Tuberculosis of lung without cavitation or unspecified, confirmed by unspecified means",253954,Pulmonary tuberculosis
158,"Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically",253954,Pulmonary tuberculosis
159,"Respiratory tuberculosis unspecified, with cavitation, confirmed bacteriologically and histologically",253954,Pulmonary tuberculosis
160,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",261774,"Respiratory tuberculosis, not confirmed bacteriologically or histologically"
161,"Tuberculosis of lung, bacteriologically and histologically negative",4091167,"Tuberculosis of lung, bacteriologically and histologically negative"
162,"Tuberculous bronchiectasis, bacteriologically and histologically negative",4091167,"Tuberculosis of lung, bacteriologically and histologically negative"
163,"Tuberculous fibrosis of lung, bacteriologically and histologically negative",4091167,"Tuberculosis of lung, bacteriologically and histologically negative"
164,"Tuberculous pneumonia, bacteriologically and histologically negative                                                                    ",4091167,"Tuberculosis of lung, bacteriologically and histologically negative"
165,"Tuberculous pneumothorax, bacteriologically and histologically negative",4091167,"Tuberculosis of lung, bacteriologically and histologically negative"
166,"Tuberculous of lung, bacteriological and histological examination not done",260630,"Tuberculosis of lung, bacteriological and histological examination not done"
167,"Tuberculosis of lung, with cavitation, bacteriological and histological examination not done",260630,"Tuberculosis of lung, bacteriological and histological examination not done"
168,"Tuberculous pneumonia, with cavitation, bacteriological and histological examination not done",260630,"Tuberculosis of lung, bacteriological and histological examination not done"
169,"Tuberculosis of lung, without cavitation or unspecified, bacteriological and histological examination not done",260630,"Tuberculosis of lung, bacteriological and histological examination not done"
170,"Tuberculous bronchiectasis, without cavitation or unspecified, bacteriological and histological examination not done",260630,"Tuberculosis of lung, bacteriological and histological examination not done"
171,"Tuberculous pneumonia, without cavitation or unspecified, bacteriological and histological examination not done",260630,"Tuberculosis of lung, bacteriological and histological examination not done"
172,"Tuberculous pneumothorax, without cavitation or unspecified, bacteriological and histological examination not done",260630,"Tuberculosis of lung, bacteriological and histological examination not done"
173,"Tuberculosis of lung, without mention of bacteriological or histological confirmation",253954,Pulmonary tuberculosis
174,"Tuberculosis of lung, with cavitation, without mention of bacteriological or histological confirmation",253954,Pulmonary tuberculosis
175,"Tuberculosis of lung NOS, with cavitation",253954,Pulmonary tuberculosis
176,"Tuberculous bronchiectasis NOS, with cavitation, without mention of bacteriological or histological confirmation",253954,Pulmonary tuberculosis
177,"Tuberculous pneumonia NOS, with cavitation, without mention of bacteriological or histological confirmation",253954,Pulmonary tuberculosis
178,"Tuberculous pneumothorax NOS, with cavitation, without mention of bacteriological or histological confirmation",253954,Pulmonary tuberculosis
179,"Tuberculosis abscess of lung (Cold abscess), with cavitation",253954,Pulmonary tuberculosis
180,"Multiple drug resistant tuberculosis of lung, with cavitation",253954,Pulmonary tuberculosis
181,"Tuberculosis of lung,without cavitation or unspecified, without mention of bacteriological or histological confirmation",253954,Pulmonary tuberculosis
182,"Tuberculosis of lung NOS, without cavitation or unspecified",253954,Pulmonary tuberculosis
183,"Tuberculous bronchiectasis NOS, without cavitation or unspecified, without mention of bacteriological or histological confirmation",253954,Pulmonary tuberculosis
184,"Tuberculous fibrosis of lung NOS,  without cavitation or unspecifiedwithout mention of bacteriological or histological confirmation",253954,Pulmonary tuberculosis
185,"Tuberculous pneumonia NOS, without cavitation or unspecified, without mention of bacteriological or histological confirmation",253954,Pulmonary tuberculosis
186,"Tuberculous pneumothorax NOS, without cavitation or unspecified, without mention of bacteriological or histological confirmation",253954,Pulmonary tuberculosis
187,"Tuberculosis abscess of lung (Cold abscess), without cavitation or unspecified",253954,Pulmonary tuberculosis
188,"Multiple drug resistant tuberculosis, without cavitation or unspecified",253954,Pulmonary tuberculosis
189,Tuberculosis of lung NOS,253954,Pulmonary tuberculosis
190,Tuberculous bronchiectasis NOS,253954,Pulmonary tuberculosis
191,Tuberculous fibrosis of lung NOS,253954,Pulmonary tuberculosis
192,Tuberculous pneumonia NOS,253954,Pulmonary tuberculosis
193,Tuberculous pneumothorax NOS,253954,Pulmonary tuberculosis
194,Tuberculosis abscess (Cold abscess),253954,Pulmonary tuberculosis
195,Pulmonary tuberculosis with cavitation,253954,Pulmonary tuberculosis
196,Multiple drug resistant tuberculosis,253954,Pulmonary tuberculosis
197,"Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation",134851,Tuberculosis of intrathoracic lymph nodes
198,"Tuberculosis of hilar lymph nodes, without mention of bacteriological or histological confirmation",134851,Tuberculosis of intrathoracic lymph nodes
199,"Tuberculosis of mediastinal lymph nodes, without mention of bacteriological or histological confirmation",134851,Tuberculosis of intrathoracic lymph nodes
200,"Tuberculosis of larynx,trachea and bronchus, without mention of bacteriological or histological confirmation",256896,Tuberculosis of bronchus
201,"Tuberculosis of bronchus NOS, without mention of bacteriological or histological confirmation",256896,Tuberculosis of bronchus
202,Tuberculosis of larynx NOS,256896,Tuberculosis of bronchus
203,Tuberculosis of trachea NOS,256896,Tuberculosis of bronchus
204,"Tuberculous pleurisy, without mention of bacteriological or histological confirmation",261495,Tuberculosis of pleura
205,"Tuberculosis of pleura NOS, without mention of bacteriological or histological confirmation",261495,Tuberculosis of pleura
206,"Tuberculous empyema NOS, without mention of bacteriological or histological confirmation",261495,Tuberculosis of pleura
207,"Tuberculous pleurisy NOS, without mention of bacteriological or histological confirmation",261495,Tuberculosis of pleura
208,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation,261774,"Respiratory tuberculosis, not confirmed bacteriologically or histologically"
209,Primary respiratory tuberculosis NOS,261774,"Respiratory tuberculosis, not confirmed bacteriologically or histologically"
210,"Other respiratory tuberculosis, without mention of bacteriological or histological confirmation",261774,"Respiratory tuberculosis, not confirmed bacteriologically or histologically"
211,"Mediastinal tuberculosis NOS, without mention of bacteriological or histological confirmation",261774,"Respiratory tuberculosis, not confirmed bacteriologically or histologically"
212,Nasopharyngeal tuberculosis NOS,261774,"Respiratory tuberculosis, not confirmed bacteriologically or histologically"
213,Tuberculosis of nose NOS,261774,"Respiratory tuberculosis, not confirmed bacteriologically or histologically"
214,"Tuberculosis of sinus [any nasal] NOS, without mention of bacteriological or histological confirmation",261774,"Respiratory tuberculosis, not confirmed bacteriologically or histologically"
215,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",253954,Pulmonary tuberculosis
216,"Respiratory tuberculosis unspecified, with cavitation, without mention of bacteriological or histological confirmation",253954,Pulmonary tuberculosis
217,"Respiratory tuberculosis NOS, with cavitation",253954,Pulmonary tuberculosis
218,"Tuberculosis NOS, with cavitation",253954,Pulmonary tuberculosis
219,"Respiratory tuberculosis unspecified, without cavitation or unspecified, without mention of bacteriological or histological confirmation",253954,Pulmonary tuberculosis
220,"Respiratory tuberculosis NOS, without cavitation or unspecified",253954,Pulmonary tuberculosis
221,"Tuberculosis NOS, without cavitation or unspecified",253954,Pulmonary tuberculosis
222,Respiratory tuberculosis NOS,253954,Pulmonary tuberculosis
223,Tuberculosis NOS,253954,Pulmonary tuberculosis
224,"Tuberculosis of lung, bacteriological and histological examination not done",260630,"Tuberculosis of lung, bacteriological and histological examination not done"
225,"Tuberculous of lung with cavitation, bacteriological and histological examination not done",260630,"Tuberculosis of lung, bacteriological and histological examination not done"
226,"Tuberculous of lung without cavitation or unspecified, bacteriological and histological examination not done",260630,"Tuberculosis of lung, bacteriological and histological examination not done"
227,"Tuberculosis of lung with cavitation, without mention of bacteriological or histological confirmation",253954,Pulmonary tuberculosis
228,"Tuberculosis of lung without cavitation or unspecified, without mention of bacteriological or histological confirmation",253954,Pulmonary tuberculosis
229,"Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confir",134851,Tuberculosis of intrathoracic lymph nodes
230,"Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological con",256896,Tuberculosis of bronchus
231,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmatio",253954,Pulmonary tuberculosis
232,"Respiratory tuberculosis unspecified with cavitation, without mention of bacteriological or histological confirmation",253954,Pulmonary tuberculosis
233,"Respiratory tuberculosis unspecified without cavitation or unspecified, without mention of bacteriological or histological confirmation",253954,Pulmonary tuberculosis
234,Tuberculosis of nervous system,434557,Tuberculosis
235,Tuberculous meninges,441775,Tuberculosis of meninges
236,Tuberculosis of meninges (cerebral) (spinal),441775,Tuberculosis of meninges
237,Tuberculous leptomeningitis,441775,Tuberculosis of meninges
238,Other tuberculosis of nervous system,374267,Tuberculosis of central nervous system
239,Tuberculoma of brain and spinal cord,374267,Tuberculosis of central nervous system
240,Tuberculous abscess of brain and spinal cord,374267,Tuberculosis of central nervous system
241,Tuberculoma of brain,374267,Tuberculosis of central nervous system
242,Tuberculosis of brain,374267,Tuberculosis of central nervous system
243,Tuberculosis of spinal cord,374267,Tuberculosis of central nervous system
244,Tuberculous meningoencephalitis,374267,Tuberculosis of central nervous system
245,Tuberculous myelitis,374267,Tuberculosis of central nervous system
246,Tuberculoma of spinal cord,374267,Tuberculosis of central nervous system
247,Tuberculous polyneuropathy,374267,Tuberculosis of central nervous system
248,"Tuberculosis of nervous system, unspecified",434557,Tuberculosis
249,Tuberculosis of meningitis,441775,Tuberculosis of meninges
250,Meningeal tuberculoma,440937,Tuberculoma of meninges
251,Tuberculoma of brain and spinal cord (G07*),374267,Tuberculosis of central nervous system
252,Tuberculous meningoencephalitis (G05.0*),374267,Tuberculosis of central nervous system
253,Other tuberculosis of nervous system (G63.0*),374267,Tuberculosis of central nervous system
254,Tuberculosis of other organs,434557,Tuberculosis
255,Tuberculosis of bones and joints,438673,Tuberculosis of bones AND/OR joints
256,Tuberculosis of spine,438673,Tuberculosis of bones AND/OR joints
257,Tuberculous arthritis of other joints,438673,Tuberculosis of bones AND/OR joints
258,Tuberculous arthritis of knee joints,438673,Tuberculosis of bones AND/OR joints
259,Tuberculosis of other bones,438673,Tuberculosis of bones AND/OR joints
260,Tuberculous necrosis of bone,438673,Tuberculosis of bones AND/OR joints
261,Tuberculous osteomyelitis,438673,Tuberculosis of bones AND/OR joints
262,Other musculoskeletal tuberculosis,438673,Tuberculosis of bones AND/OR joints
263,Tuberculous synovitis,438673,Tuberculosis of bones AND/OR joints
264,Tuberculous of hip,438673,Tuberculosis of bones AND/OR joints
265,Tuberculosis of vertebral column,438673,Tuberculosis of bones AND/OR joints
266,Tuberculosis arthritis,438673,Tuberculosis of bones AND/OR joints
267,Tuberculous tenosynovitis,438673,Tuberculosis of bones AND/OR joints
268,Tuberculosis of genitourinary system,73686,Tuberculosis of genitourinary system
269,Tuberculosis of kidney and ureter,73686,Tuberculosis of genitourinary system
270,Tuberculosis of kidney,73686,Tuberculosis of genitourinary system
271,Tuberculosis of bladder,73686,Tuberculosis of genitourinary system
272,Tuberculosis of other male genital organs,73686,Tuberculosis of genitourinary system
273,Tuberculous female pelvic inflammatory disease,73686,Tuberculosis of genitourinary system
274,Tuberculosis of other female genital organs,73686,Tuberculosis of genitourinary system
275,"Tuberculosis of genitourinary system, unspecified",73686,Tuberculosis of genitourinary system
276,Tuberculosis of male genital organs,73686,Tuberculosis of genitourinary system
277,Tuberculosis of ureter,73686,Tuberculosis of genitourinary system
278,Tuberculous peripheral lymphadenopathy,432236,Tuberculosis of peripheral lymph nodes
279,Tuberculous lymphadenitis of cervical,432236,Tuberculosis of peripheral lymph nodes
280,"Tuberculous lymphadenitis, specified",432236,Tuberculosis of peripheral lymph nodes
281,"Tuberculous lymphadenitis, peripheral",432236,Tuberculosis of peripheral lymph nodes
282,"Tuberculous lymphadenitis, unspecified",432236,Tuberculosis of peripheral lymph nodes
283,"Tuberculosis of intestines, peritoneum and mesenteric glands",196019,"Tuberculosis of intestines, peritoneum and mesenteric glands"
284,Tuberculous peritonitis,196019,"Tuberculosis of intestines, peritoneum and mesenteric glands"
285,Tuberculous ascites,196019,"Tuberculosis of intestines, peritoneum and mesenteric glands"
286,Tuberculous enteritis,196019,"Tuberculosis of intestines, peritoneum and mesenteric glands"
287,Tuberculosis of anus and rectum,196019,"Tuberculosis of intestines, peritoneum and mesenteric glands"
288,"Tuberculosis of intestines(large, small)",196019,"Tuberculosis of intestines, peritoneum and mesenteric glands"
289,Retroperitoneal tuberculosis,196019,"Tuberculosis of intestines, peritoneum and mesenteric glands"
290,Tuberculosis of mesenteric glands,196019,"Tuberculosis of intestines, peritoneum and mesenteric glands"
291,Tuberculous lymphadenitis of abdominal region,196019,"Tuberculosis of intestines, peritoneum and mesenteric glands"
292,Tuberculosis of intestines (large)(small),196019,"Tuberculosis of intestines, peritoneum and mesenteric glands"
293,Tuberculous lymphadenitis of abdominal,196019,"Tuberculosis of intestines, peritoneum and mesenteric glands"
294,Tuberculosis of skin and subcutaneous tissue,4153291,Tuberculosis of skin and subcutaneous tissue
295,"Erythema induratum, tuberculous",4153291,Tuberculosis of skin and subcutaneous tissue
296,Lupus vulgaris of eyelid,4153291,Tuberculosis of skin and subcutaneous tissue
297,Lupus vulgaris NOS,4153291,Tuberculosis of skin and subcutaneous tissue
298,Scrofuloderma,4153291,Tuberculosis of skin and subcutaneous tissue
299,"Tuberculosis, papulonecrotic",4153291,Tuberculosis of skin and subcutaneous tissue
300,"Tuberculosis, ulcer",4153291,Tuberculosis of skin and subcutaneous tissue
301,Verruca tuberculosis,4153291,Tuberculosis of skin and subcutaneous tissue
302,Erythema nodosum due to tuberculous,4153291,Tuberculosis of skin and subcutaneous tissue
303,Tuberculous gumma,4153291,Tuberculosis of skin and subcutaneous tissue
304,Tuberculosis cutis orificialis,4153291,Tuberculosis of skin and subcutaneous tissue
305,Tuberculosis of eye,374270,Tuberculosis of eye
306,Tuberculous chorioretinitis,374270,Tuberculosis of eye
307,Tuberculosis of ear,378953,Tuberculosis of ear
308,Tuberculous otitis media,378953,Tuberculosis of ear
309,Tuberculosis of adrenal glands,201779,Tuberculosis of adrenal glands
310,"Addison's disease, tuberculous",201779,Tuberculosis of adrenal glands
311,Tuberculosis of other specified organs,434557,Tuberculosis
312,Tuberculosis of thyroid gland,434557,Tuberculosis
313,"Tuberculosis of digestive tract organs, not elsewhere classified",434557,Tuberculosis
314,Tuberculosis of pericardium,434557,Tuberculosis
315,Tuberculosis of spleen,434557,Tuberculosis
316,Tuberculosis of other sites,434557,Tuberculosis
317,Tuberculosis of spine (M49.0*),438673,Tuberculosis of bones AND/OR joints
318,Tuberculosis arthritis of other joints (M01.1*),438673,Tuberculosis of bones AND/OR joints
319,Tuberculosis of kidney and ureter (N29.1*),73686,Tuberculosis of genitourinary system
320,Tuberculosis of bladder (N33.0*),73686,Tuberculosis of genitourinary system
321,Tuberculosis of other urinary organs,73686,Tuberculosis of genitourinary system
322,Tuberculosis of other male genital organs (N51.-*),73686,Tuberculosis of genitourinary system
323,Tuberculosis of cervix (N74.0*),73686,Tuberculosis of genitourinary system
324,Tuberculous female pelvic inflammatory(N74.1*),73686,Tuberculosis of genitourinary system
